组合ID,主题,主题序号,组合内顺序,主题组合显示,剧本数量,主要核心主题
combo-821c9277,战争武略,7,2,婚恋姻缘 + 战争武略 + 恩怨报偿,7,恩怨报偿
combo-821c9277,恩怨报偿,8,3,婚恋姻缘 + 战争武略 + 恩怨报偿,7,恩怨报偿
combo-b0986cef,家庭亲情,4,1,家庭亲情 + 战争武略 + 善恶转化,7,家庭亲情
combo-b0986cef,战争武略,7,2,家庭亲情 + 战争武略 + 善恶转化,7,家庭亲情
combo-b0986cef,善恶转化,9,3,家庭亲情 + 战争武略 + 善恶转化,7,家庭亲情
combo-caa7729e,政治权力,2,1,政治权力 + 公案冤狱 + 战争武略,7,战争武略
combo-caa7729e,公案冤狱,5,2,政治权力 + 公案冤狱 + 战争武略,7,战争武略
combo-caa7729e,战争武略,7,3,政治权力 + 公案冤狱 + 战争武略,7,战争武略
combo-bd34e0fa,政治权力,2,1,政治权力 + 公案冤狱 + 除暴侠义,7,政治权力
combo-bd34e0fa,公案冤狱,5,2,政治权力 + 公案冤狱 + 除暴侠义,7,政治权力
combo-bd34e0fa,除暴侠义,6,3,政治权力 + 公案冤狱 + 除暴侠义,7,政治权力
combo-de874e80,政治权力,2,1,政治权力 + 家庭亲情 + 宗教祥瑞,7,家庭亲情
combo-de874e80,家庭亲情,4,2,政治权力 + 家庭亲情 + 宗教祥瑞,7,家庭亲情
combo-de874e80,宗教祥瑞,11,3,政治权力 + 家庭亲情 + 宗教祥瑞,7,家庭亲情
combo-e236d782,政治权力,2,1,政治权力 + 家庭亲情 + 战争武略 + 恩怨报偿,7,政治权力
combo-e236d782,家庭亲情,4,2,政治权力 + 家庭亲情 + 战争武略 + 恩怨报偿,7,政治权力
combo-e236d782,战争武略,7,3,政治权力 + 家庭亲情 + 战争武略 + 恩怨报偿,7,政治权力
combo-e236d782,恩怨报偿,8,4,政治权力 + 家庭亲情 + 战争武略 + 恩怨报偿,7,政治权力
combo-619ddc66,公案冤狱,5,1,公案冤狱 + 除暴侠义,6,除暴侠义
combo-619ddc66,除暴侠义,6,2,公案冤狱 + 除暴侠义,6,除暴侠义
combo-b941ae22,婚恋姻缘,3,1,婚恋姻缘 + 礼教品格,6,婚恋姻缘
combo-b941ae22,礼教品格,10,2,婚恋姻缘 + 礼教品格,6,婚恋姻缘
combo-6cbdec8f,宗教祥瑞,11,1,宗教祥瑞 + 文人世情,6,宗教祥瑞
combo-6cbdec8f,文人世情,12,2,宗教祥瑞 + 文人世情,6,宗教祥瑞
combo-74dc7e8c,婚恋姻缘,3,1,婚恋姻缘 + 家庭亲情 + 宗教祥瑞,6,婚恋姻缘
combo-74dc7e8c,家庭亲情,4,2,婚恋姻缘 + 家庭亲情 + 宗教祥瑞,6,婚恋姻缘
combo-74dc7e8c,宗教祥瑞,11,3,婚恋姻缘 + 家庭亲情 + 宗教祥瑞,6,婚恋姻缘
combo-3246b321,忠义家国,1,1,忠义家国 + 家庭亲情 + 战争武略,6,家庭亲情
combo-3246b321,家庭亲情,4,2,忠义家国 + 家庭亲情 + 战争武略,6,家庭亲情
combo-3246b321,战争武略,7,3,忠义家国 + 家庭亲情 + 战争武略,6,家庭亲情
combo-97084014,政治权力,2,1,政治权力 + 婚恋姻缘 + 文人世情,6,文人世情
combo-97084014,婚恋姻缘,3,2,政治权力 + 婚恋姻缘 + 文人世情,6,文人世情
combo-97084014,文人世情,12,3,政治权力 + 婚恋姻缘 + 文人世情,6,文人世情
combo-56734d03,政治权力,2,1,政治权力 + 婚恋姻缘 + 家庭亲情 + 文人世情,6,文人世情
combo-56734d03,婚恋姻缘,3,2,政治权力 + 婚恋姻缘 + 家庭亲情 + 文人世情,6,文人世情
combo-56734d03,家庭亲情,4,3,政治权力 + 婚恋姻缘 + 家庭亲情 + 文人世情,6,文人世情
combo-56734d03,文人世情,12,4,政治权力 + 婚恋姻缘 + 家庭亲情 + 文人世情,6,文人世情
combo-f435db67,婚恋姻缘,3,1,婚恋姻缘 + 家庭亲情 + 除暴侠义,5,家庭亲情
combo-f435db67,家庭亲情,4,2,婚恋姻缘 + 家庭亲情 + 除暴侠义,5,家庭亲情
combo-f435db67,除暴侠义,6,3,婚恋姻缘 + 家庭亲情 + 除暴侠义,5,家庭亲情
combo-c8717793,家庭亲情,4,1,家庭亲情 + 善恶转化 + 宗教祥瑞,5,宗教祥瑞
combo-c8717793,善恶转化,9,2,家庭亲情 + 善恶转化 + 宗教祥瑞,5,宗教祥瑞
combo-c8717793,宗教祥瑞,11,3,家庭亲情 + 善恶转化 + 宗教祥瑞,5,宗教祥瑞
combo-5bee18ce,忠义家国,1,1,忠义家国 + 政治权力 + 文人世情,5,政治权力
combo-5bee18ce,政治权力,2,2,忠义家国 + 政治权力 + 文人世情,5,政治权力
combo-5bee18ce,文人世情,12,3,忠义家国 + 政治权力 + 文人世情,5,政治权力
combo-ff6096a1,战争武略,7,1,战争武略 + 善恶转化 + 宗教祥瑞,5,善恶转化
combo-ff6096a1,善恶转化,9,2,战争武略 + 善恶转化 + 宗教祥瑞,5,善恶转化
combo-ff6096a1,宗教祥瑞,11,3,战争武略 + 善恶转化 + 宗教祥瑞,5,善恶转化
