剧本ID,剧目名称,剧目类别,内容量权重,网络密度,度中心化,主角色关系,角色关系集合,核心主题,核心主题序号,核心主题得分,核心主题置信度,次要主题集合,主题组合,主题组合显示,主题数量,主题序号集合,主题得分集合,主题归一得分集合,主题证据词集合,组合ID,文件路径,数据说明
70902146,琵琶记·赏荷,家庭戏,22.04,0.3524,0.4338,婚恋关系,婚恋关系|亲属关系|权力关系,家庭亲情,4,174.58,0.5727,婚恋姻缘,婚恋姻缘|家庭亲情,婚恋姻缘 + 家庭亲情,2,3|4,忠义家国:4.0|政治权力:9.89|婚恋姻缘:35.9|家庭亲情:174.58|公案冤狱:2.0|除暴侠义:0.0|战争武略:3.41|恩怨报偿:5.71|善恶转化:14.91|礼教品格:30.88|宗教祥瑞:7.69|文人世情:15.88,忠义家国:0.0229|政治权力:0.0567|婚恋姻缘:0.2056|家庭亲情:1.0|公案冤狱:0.0115|除暴侠义:0.0|战争武略:0.0195|恩怨报偿:0.0327|善恶转化:0.0854|礼教品格:0.1769|宗教祥瑞:0.0441|文人世情:0.0909,家庭亲情:父母、父、母、子、亲,combo-a95186b5,70902000/70902146_琵琶记·赏荷.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
70902156,南西厢记·佳期,历史戏,18.92,0.3338,0.3915,婚恋关系,婚恋关系,婚恋姻缘,3,829.43,0.9114,文人世情,婚恋姻缘|文人世情,婚恋姻缘 + 文人世情,2,3|12,忠义家国:5.0|政治权力:6.32|婚恋姻缘:829.43|家庭亲情:5.8|公案冤狱:0.0|除暴侠义:0.0|战争武略:8.99|恩怨报偿:0.9|善恶转化:0.0|礼教品格:23.87|宗教祥瑞:1.84|文人世情:27.92,忠义家国:0.006|政治权力:0.0076|婚恋姻缘:1.0|家庭亲情:0.007|公案冤狱:0.0|除暴侠义:0.0|战争武略:0.0108|恩怨报偿:0.0011|善恶转化:0.0|礼教品格:0.0288|宗教祥瑞:0.0022|文人世情:0.0337,婚恋姻缘:红娘、西厢、姻缘、小姐、佳期,combo-00a071b5,70902000/70902156_南西厢记·佳期.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
70902157,焚香记·阳告,神怪戏,19.77,0.4114,0.4358,审判与恩怨关系,审判与恩怨关系|权力关系|亲属关系,善恶转化,9,145.1,0.2789,公案冤狱|宗教祥瑞,公案冤狱|善恶转化|宗教祥瑞,公案冤狱 + 善恶转化 + 宗教祥瑞,3,5|9|11,忠义家国:4.36|政治权力:47.21|婚恋姻缘:20.25|家庭亲情:24.63|公案冤狱:55.01|除暴侠义:0.68|战争武略:9.59|恩怨报偿:33.77|善恶转化:145.1|礼教品格:16.89|宗教祥瑞:142.55|文人世情:20.28,忠义家国:0.03|政治权力:0.3254|婚恋姻缘:0.1396|家庭亲情:0.1697|公案冤狱:0.3791|除暴侠义:0.0047|战争武略:0.0661|恩怨报偿:0.2327|善恶转化:1.0|礼教品格:0.1164|宗教祥瑞:0.9824|文人世情:0.1398,公案冤狱:判、关系先验:审判与恩怨关系、冤、关系先验:权力关系、案|善恶转化:善恶、改、善、恶、类别先验:神怪戏|宗教祥瑞:神、鬼、庙、类别先验:神怪戏、报应,combo-6257d7fd,70902000/70902157_焚香记·阳告.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
70902158,牡丹亭·硬拷,历史戏,24.37,0.432,0.3527,亲属关系,亲属关系|审判与恩怨关系|权力关系,文人世情,12,190.94,0.3496,政治权力,政治权力|文人世情,政治权力 + 文人世情,2,2|12,忠义家国:9.0|政治权力:140.53|婚恋姻缘:4.95|家庭亲情:35.95|公案冤狱:54.15|除暴侠义:2.02|战争武略:19.88|恩怨报偿:9.52|善恶转化:11.58|礼教品格:18.33|宗教祥瑞:49.35|文人世情:190.94,忠义家国:0.0471|政治权力:0.736|婚恋姻缘:0.0259|家庭亲情:0.1883|公案冤狱:0.2836|除暴侠义:0.0106|战争武略:0.1041|恩怨报偿:0.0499|善恶转化:0.0606|礼教品格:0.096|宗教祥瑞:0.2585|文人世情:1.0,政治权力:朝廷、朝、官、关系先验:权力关系、类别先验:历史戏|文人世情:状元、亭、画、书生、文,combo-fa9c434c,70902000/70902158_牡丹亭·硬拷.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
70902159,金雀记·乔醋,家庭戏,26.26,0.394,0.6417,婚恋关系,婚恋关系|权力关系|亲属关系,文人世情,12,93.78,0.2852,政治权力|婚恋姻缘,政治权力|婚恋姻缘|文人世情,政治权力 + 婚恋姻缘 + 文人世情,3,2|3|12,忠义家国:4.0|政治权力:65.89|婚恋姻缘:38.15|家庭亲情:36.86|公案冤狱:18.57|除暴侠义:0.0|战争武略:23.03|恩怨报偿:20.38|善恶转化:3.24|礼教品格:23.62|宗教祥瑞:1.3|文人世情:93.78,忠义家国:0.0427|政治权力:0.7026|婚恋姻缘:0.4068|家庭亲情:0.393|公案冤狱:0.1981|除暴侠义:0.0|战争武略:0.2455|恩怨报偿:0.2173|善恶转化:0.0345|礼教品格:0.2519|宗教祥瑞:0.0139|文人世情:1.0,政治权力:太师、官、关系先验:权力关系、朝|婚恋姻缘:夫人、关系先验:婚恋关系、鸳鸯、类别先验:家庭戏|文人世情:文、琴、书、书生、士子,combo-97084014,70902000/70902159_金雀记·乔醋.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
70902162,疗妒羹·题曲,神怪戏,14.34,0.0,0.0,婚恋关系,婚恋关系|亲属关系,文人世情,12,122.25,0.3277,恩怨报偿|宗教祥瑞,恩怨报偿|宗教祥瑞|文人世情,恩怨报偿 + 宗教祥瑞 + 文人世情,3,8|11|12,忠义家国:0.0|政治权力:0.0|婚恋姻缘:30.93|家庭亲情:31.57|公案冤狱:0.59|除暴侠义:0.0|战争武略:16.37|恩怨报偿:79.44|善恶转化:5.63|礼教品格:34.97|宗教祥瑞:51.33|文人世情:122.25,忠义家国:0.0|政治权力:0.0|婚恋姻缘:0.253|家庭亲情:0.2583|公案冤狱:0.0048|除暴侠义:0.0|战争武略:0.1339|恩怨报偿:0.6498|善恶转化:0.0461|礼教品格:0.286|宗教祥瑞:0.4199|文人世情:1.0,恩怨报偿:怨、恨、类别先验:神怪戏、关系先验:亲属关系、报|宗教祥瑞:梦、类别先验:神怪戏、鬼、雷、寿|文人世情:花园、诗、园、书生、书,combo-633a7c2a,70902000/70902162_疗妒羹·题曲.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
70902170,白罗衫·游园,家庭戏,25.83,0.4502,0.2622,亲属关系,亲属关系|婚恋关系|权力关系,公案冤狱,5,201.53,0.2788,婚恋姻缘|家庭亲情|礼教品格,婚恋姻缘|家庭亲情|公案冤狱|礼教品格,婚恋姻缘 + 家庭亲情 + 公案冤狱 + 礼教品格,4,3|4|5|10,忠义家国:4.0|政治权力:60.82|婚恋姻缘:184.49|家庭亲情:79.78|公案冤狱:201.53|除暴侠义:4.14|战争武略:4.49|恩怨报偿:8.56|善恶转化:0.63|礼教品格:130.12|宗教祥瑞:3.74|文人世情:40.42,忠义家国:0.0198|政治权力:0.3018|婚恋姻缘:0.9154|家庭亲情:0.3959|公案冤狱:1.0|除暴侠义:0.0205|战争武略:0.0223|恩怨报偿:0.0425|善恶转化:0.0031|礼教品格:0.6457|宗教祥瑞:0.0185|文人世情:0.2006,婚恋姻缘:小姐、夫人、关系先验:婚恋关系、类别先验:家庭戏、妻|家庭亲情:母、子、母亲、类别先验:家庭戏、儿|公案冤狱:伸冤、冤、昭雪、关系先验:权力关系|礼教品格:孝顺、孝、节、类别先验:家庭戏、关系先验:亲属关系,combo-d778222d,70902000/70902170_白罗衫·游园.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
70902171,白罗衫·看状,公案戏,26.35,0.3748,0.3556,审判与恩怨关系,审判与恩怨关系|亲属关系|婚恋关系,恩怨报偿,8,188.43,0.2156,家庭亲情|公案冤狱|除暴侠义,家庭亲情|公案冤狱|除暴侠义|恩怨报偿,家庭亲情 + 公案冤狱 + 除暴侠义 + 恩怨报偿,4,4|5|6|8,忠义家国:0.0|政治权力:94.81|婚恋姻缘:53.89|家庭亲情:153.47|公案冤狱:151.42|除暴侠义:161.44|战争武略:5.58|恩怨报偿:188.43|善恶转化:14.29|礼教品格:29.96|宗教祥瑞:2.77|文人世情:17.78,忠义家国:0.0|政治权力:0.5032|婚恋姻缘:0.286|家庭亲情:0.8144|公案冤狱:0.8036|除暴侠义:0.8568|战争武略:0.0296|恩怨报偿:1.0|善恶转化:0.0758|礼教品格:0.159|宗教祥瑞:0.0147|文人世情:0.0944,家庭亲情:父亲、父、母、子、亲|公案冤狱:状、冤、告状、审、类别先验:公案戏|除暴侠义:除奸、盗、强盗、山寨、绿林|恩怨报偿:复仇、仇、类别先验:公案戏、关系先验:审判与恩怨关系、恨,combo-11386f65,70902000/70902171_白罗衫·看状.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
70902172,艳云亭·痴诉,家庭戏,21.16,0.1779,0.3703,亲属关系,亲属关系|权力关系|冲突关系,家庭亲情,4,51.78,0.2969,政治权力|礼教品格,政治权力|家庭亲情|礼教品格,政治权力 + 家庭亲情 + 礼教品格,3,2|4|10,忠义家国:4.0|政治权力:30.19|婚恋姻缘:4.0|家庭亲情:51.78|公案冤狱:12.92|除暴侠义:3.0|战争武略:12.88|恩怨报偿:10.31|善恶转化:2.0|礼教品格:23.48|宗教祥瑞:7.11|文人世情:12.71,忠义家国:0.0772|政治权力:0.583|婚恋姻缘:0.0772|家庭亲情:1.0|公案冤狱:0.2495|除暴侠义:0.0579|战争武略:0.2486|恩怨报偿:0.1991|善恶转化:0.0386|礼教品格:0.4535|宗教祥瑞:0.1373|文人世情:0.2455,政治权力:臣、王、关系先验:权力关系、官、朝|家庭亲情:儿、女、类别先验:家庭戏、关系先验:亲属关系、子|礼教品格:节、类别先验:家庭戏、关系先验:亲属关系、教、骂,combo-bf2a650a,70902000/70902172_艳云亭·痴诉.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
70902176,铁冠图·撞钟,历史戏,24.73,0.3313,0.5733,权力关系,权力关系,政治权力,2,322.7,0.6528,战争武略,政治权力|战争武略,政治权力 + 战争武略,2,2|7,忠义家国:19.05|政治权力:322.7|婚恋姻缘:0.0|家庭亲情:5.26|公案冤狱:3.5|除暴侠义:3.83|战争武略:58.06|恩怨报偿:29.91|善恶转化:24.33|礼教品格:14.88|宗教祥瑞:1.48|文人世情:11.32,忠义家国:0.059|政治权力:1.0|婚恋姻缘:0.0|家庭亲情:0.0163|公案冤狱:0.0108|除暴侠义:0.0119|战争武略:0.1799|恩怨报偿:0.0927|善恶转化:0.0754|礼教品格:0.0461|宗教祥瑞:0.0046|文人世情:0.0351,政治权力:丞相、君臣、帝、臣、王,combo-b8241900,70902000/70902176_铁冠图·撞钟.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
70902177,铁冠图·分宫,历史戏,23.06,0.3103,0.5072,权力关系,权力关系|亲属关系,政治权力,2,117.67,0.3008,家庭亲情|礼教品格,政治权力|家庭亲情|礼教品格,政治权力 + 家庭亲情 + 礼教品格,3,2|4|10,忠义家国:48.75|政治权力:117.67|婚恋姻缘:0.54|家庭亲情:49.89|公案冤狱:2.0|除暴侠义:0.54|战争武略:41.68|恩怨报偿:35.33|善恶转化:1.71|礼教品格:74.37|宗教祥瑞:16.38|文人世情:2.34,忠义家国:0.4143|政治权力:1.0|婚恋姻缘:0.0046|家庭亲情:0.424|公案冤狱:0.017|除暴侠义:0.0046|战争武略:0.3542|恩怨报偿:0.3002|善恶转化:0.0145|礼教品格:0.632|宗教祥瑞:0.1392|文人世情:0.0199,忠义家国:社稷、亡国、类别先验:历史戏、报国、家国|政治权力:宫、帝、王、君臣、朝|家庭亲情:子、关系先验:亲属关系、母子、骨肉、父|礼教品格:贞、节、关系先验:亲属关系、礼,combo-bf2a650a,70902000/70902177_铁冠图·分宫.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
70902178,铁冠图·刺虎,历史戏,22.17,0.6844,0.2598,权力关系,权力关系|亲属关系,恩怨报偿,8,274.61,0.3108,婚恋姻缘|战争武略,婚恋姻缘|战争武略|恩怨报偿,婚恋姻缘 + 战争武略 + 恩怨报偿,3,3|7|8,忠义家国:17.46|政治权力:49.22|婚恋姻缘:238.44|家庭亲情:48.55|公案冤狱:6.95|除暴侠义:39.69|战争武略:110.84|恩怨报偿:274.61|善恶转化:0.45|礼教品格:94.17|宗教祥瑞:0.0|文人世情:3.19,忠义家国:0.0636|政治权力:0.1793|婚恋姻缘:0.8683|家庭亲情:0.1768|公案冤狱:0.0253|除暴侠义:0.1445|战争武略:0.4036|恩怨报偿:1.0|善恶转化:0.0016|礼教品格:0.3429|宗教祥瑞:0.0|文人世情:0.0116,婚恋姻缘:成亲、洞房、夫妻、夫妇、配|战争武略:将军、将、军、类别先验:历史戏、关系先验:权力关系|恩怨报偿:报仇、仇、恨、报、关系先验:亲属关系|礼教品格:贞、节、关系先验:亲属关系、礼、教,combo-821c9277,70902000/70902178_铁冠图·刺虎.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
70903102,单刀会·刀会,历史戏,27.02,0.3468,0.492,权力关系,权力关系|亲属关系|同盟关系,战争武略,7,167.82,0.5224,政治权力,政治权力|战争武略,政治权力 + 战争武略,2,2|7,忠义家国:22.82|政治权力:30.41|婚恋姻缘:0.9|家庭亲情:24.06|公案冤狱:2.0|除暴侠义:9.85|战争武略:167.82|恩怨报偿:18.08|善恶转化:15.18|礼教品格:22.89|宗教祥瑞:1.3|文人世情:5.94,忠义家国:0.136|政治权力:0.1812|婚恋姻缘:0.0054|家庭亲情:0.1434|公案冤狱:0.0119|除暴侠义:0.0587|战争武略:1.0|恩怨报偿:0.1077|善恶转化:0.0905|礼教品格:0.1364|宗教祥瑞:0.0078|文人世情:0.0354,战争武略:关、将、单刀会、兵、将军,combo-b8241900,70903000/70903102_单刀会·刀会.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
70904110,棋盘会·点将,历史戏,24.64,0.3376,0.4163,权力关系,权力关系|同盟关系|冲突关系,政治权力,2,147.47,0.4143,战争武略,政治权力|战争武略,政治权力 + 战争武略,2,2|7,忠义家国:14.0|政治权力:147.47|婚恋姻缘:4.59|家庭亲情:16.5|公案冤狱:3.5|除暴侠义:7.0|战争武略:133.09|恩怨报偿:8.56|善恶转化:5.03|礼教品格:14.16|宗教祥瑞:0.77|文人世情:1.3,忠义家国:0.0949|政治权力:1.0|婚恋姻缘:0.0311|家庭亲情:0.1119|公案冤狱:0.0237|除暴侠义:0.0475|战争武略:0.9025|恩怨报偿:0.058|善恶转化:0.0341|礼教品格:0.096|宗教祥瑞:0.0052|文人世情:0.0088,政治权力:丞相、王、关系先验:权力关系、类别先验:历史戏、君臣|战争武略:将、战、兵、类别先验:历史戏、计,combo-b8241900,70904000/70904110_棋盘会·点将.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
70904115,西游记·胖姑学舌,神怪戏,20.79,0.6853,0.2317,亲属关系,亲属关系|权力关系,宗教祥瑞,11,57.52,0.3452,政治权力|家庭亲情,政治权力|家庭亲情|宗教祥瑞,政治权力 + 家庭亲情 + 宗教祥瑞,3,2|4|11,忠义家国:4.0|政治权力:29.96|婚恋姻缘:0.0|家庭亲情:31.12|公案冤狱:2.0|除暴侠义:0.0|战争武略:11.36|恩怨报偿:7.5|善恶转化:5.0|礼教品格:17.67|宗教祥瑞:57.52|文人世情:0.5,忠义家国:0.0695|政治权力:0.5209|婚恋姻缘:0.0|家庭亲情:0.5411|公案冤狱:0.0348|除暴侠义:0.0|战争武略:0.1974|恩怨报偿:0.1304|善恶转化:0.0869|礼教品格:0.3072|宗教祥瑞:1.0|文人世情:0.0086,政治权力:王、关系先验:权力关系、官、朝|家庭亲情:儿、父、关系先验:亲属关系、兄弟、子|宗教祥瑞:西游、雷、类别先验:神怪戏、鬼,combo-de874e80,70904000/70904115_西游记·胖姑学舌.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
