剧本ID,剧目名称,剧目类别,内容量权重,网络密度,度中心化,主角色关系,角色关系集合,核心主题,核心主题序号,核心主题得分,核心主题置信度,次要主题集合,主题组合,主题组合显示,主题数量,主题序号集合,主题得分集合,主题归一得分集合,主题证据词集合,组合ID,文件路径,数据说明
03006001,武昭关,历史戏,20.32,0.4934,0.3953,权力关系,权力关系|亲属关系|冲突关系,战争武略,7,157.65,0.4354,政治权力|家庭亲情,政治权力|家庭亲情|战争武略,政治权力 + 家庭亲情 + 战争武略,3,2|4|7,忠义家国:22.59|政治权力:56.78|婚恋姻缘:1.62|家庭亲情:63.55|公案冤狱:2.99|除暴侠义:4.62|战争武略:157.65|恩怨报偿:18.21|善恶转化:15.2|礼教品格:17.58|宗教祥瑞:1.3|文人世情:0.0,忠义家国:0.1433|政治权力:0.3602|婚恋姻缘:0.0103|家庭亲情:0.4031|公案冤狱:0.019|除暴侠义:0.0293|战争武略:1.0|恩怨报偿:0.1155|善恶转化:0.0964|礼教品格:0.1115|宗教祥瑞:0.0083|文人世情:0.0,政治权力:王、君臣、关系先验:权力关系、类别先验:历史戏、臣|家庭亲情:子、母子、关系先验:亲属关系、父、母|战争武略:将军、关、将、兵、类别先验:历史戏,combo-e50e2916,03000000/03006001_武昭关.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03006002,夺小沛,历史戏,32.21,0.2583,0.3128,冲突关系,冲突关系|亲属关系|同盟关系,战争武略,7,204.17,0.4407,除暴侠义,除暴侠义|战争武略,除暴侠义 + 战争武略,2,6|7,忠义家国:19.78|政治权力:16.87|婚恋姻缘:0.45|家庭亲情:22.84|公案冤狱:0.0|除暴侠义:37.39|战争武略:204.17|恩怨报偿:32.16|善恶转化:5.6|礼教品格:26.04|宗教祥瑞:66.47|文人世情:31.47,忠义家国:0.0969|政治权力:0.0826|婚恋姻缘:0.0022|家庭亲情:0.1119|公案冤狱:0.0|除暴侠义:0.1831|战争武略:1.0|恩怨报偿:0.1575|善恶转化:0.0274|礼教品格:0.1275|宗教祥瑞:0.3255|文人世情:0.1541,战争武略:战、将军、将、关、军|宗教祥瑞:雷、神、鬼,combo-d8ac3995,03000000/03006002_夺小沛.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03006003,白门楼,历史戏,33.9,0.1727,0.3706,权力关系,权力关系|冲突关系,战争武略,7,123.88,0.2777,政治权力|善恶转化,政治权力|战争武略|善恶转化,政治权力 + 战争武略 + 善恶转化,3,2|7|9,忠义家国:25.41|政治权力:117.23|婚恋姻缘:3.78|家庭亲情:9.22|公案冤狱:2.0|除暴侠义:41.49|战争武略:123.88|恩怨报偿:17.38|善恶转化:50.27|礼教品格:14.97|宗教祥瑞:0.0|文人世情:40.48,忠义家国:0.2051|政治权力:0.9464|婚恋姻缘:0.0305|家庭亲情:0.0745|公案冤狱:0.0161|除暴侠义:0.3349|战争武略:1.0|恩怨报偿:0.1403|善恶转化:0.4058|礼教品格:0.1208|宗教祥瑞:0.0|文人世情:0.3267,政治权力:丞相、宫、关系先验:权力关系、天子、类别先验:历史戏|战争武略:战、将军、关、军、将|善恶转化:归顺、降、归降、归、悔,combo-a0cff0f6,03000000/03006003_白门楼.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03006005,叔宝表功,历史戏,24.02,0.5885,0.5471,冲突关系,冲突关系|权力关系|同盟关系,战争武略,7,187.31,0.4313,忠义家国,忠义家国|战争武略,忠义家国 + 战争武略,2,1|7,忠义家国:65.12|政治权力:39.5|婚恋姻缘:0.63|家庭亲情:12.53|公案冤狱:26.57|除暴侠义:27.4|战争武略:187.31|恩怨报偿:53.68|善恶转化:2.45|礼教品格:13.8|宗教祥瑞:0.54|文人世情:4.73,忠义家国:0.3477|政治权力:0.2109|婚恋姻缘:0.0034|家庭亲情:0.0669|公案冤狱:0.1419|除暴侠义:0.1463|战争武略:1.0|恩怨报偿:0.2866|善恶转化:0.0131|礼教品格:0.0737|宗教祥瑞:0.0029|文人世情:0.0252,忠义家国:救驾、类别先验:历史戏、关系先验:同盟关系、关系先验:权力关系、义|战争武略:大战、战、将、兵、城,combo-140aa311,03000000/03006005_叔宝表功.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03006006,打登州,历史戏,38.39,0.1507,0.4007,亲属关系,亲属关系|冲突关系,家庭亲情,4,103.07,0.2168,除暴侠义|恩怨报偿,家庭亲情|除暴侠义|恩怨报偿,家庭亲情 + 除暴侠义 + 恩怨报偿,3,4|6|8,忠义家国:21.05|政治权力:44.77|婚恋姻缘:40.29|家庭亲情:103.07|公案冤狱:26.62|除暴侠义:72.9|战争武略:49.9|恩怨报偿:55.59|善恶转化:17.81|礼教品格:23.52|宗教祥瑞:4.95|文人世情:14.94,忠义家国:0.2042|政治权力:0.4344|婚恋姻缘:0.3909|家庭亲情:1.0|公案冤狱:0.2583|除暴侠义:0.7073|战争武略:0.4842|恩怨报偿:0.5394|善恶转化:0.1728|礼教品格:0.2282|宗教祥瑞:0.048|文人世情:0.145,家庭亲情:兄弟、母、母亲、娘亲、亲|除暴侠义:寨、英雄、豪杰、山寨、虎|战争武略:城、将、类别先验:历史戏、关系先验:冲突关系、战争|恩怨报偿:仇、恨、报、关系先验:冲突关系、怨,combo-a3e9c1ba,03000000/03006006_打登州.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03006007,锤换带,历史戏,28.52,0.204,0.4991,亲属关系,亲属关系|冲突关系|权力关系,家庭亲情,4,239.25,0.4036,战争武略,家庭亲情|战争武略,家庭亲情 + 战争武略,2,4|7,忠义家国:21.0|政治权力:55.51|婚恋姻缘:2.7|家庭亲情:239.25|公案冤狱:10.43|除暴侠义:3.54|战争武略:163.27|恩怨报偿:14.16|善恶转化:47.45|礼教品格:16.98|宗教祥瑞:1.35|文人世情:17.15,忠义家国:0.0878|政治权力:0.232|婚恋姻缘:0.0113|家庭亲情:1.0|公案冤狱:0.0436|除暴侠义:0.0148|战争武略:0.6824|恩怨报偿:0.0592|善恶转化:0.1983|礼教品格:0.071|宗教祥瑞:0.0056|文人世情:0.0717,家庭亲情:父子、子、父、亲、关系先验:亲属关系|战争武略:战、将、关、阵、大战,combo-29f389dd,03000000/03006007_锤换带.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03007002,纪母骂刘邦,历史戏,28.69,0.3118,0.3264,权力关系,权力关系|亲属关系,政治权力,2,229.42,0.4751,家庭亲情,政治权力|家庭亲情,政治权力 + 家庭亲情,2,2|4,忠义家国:40.95|政治权力:229.42|婚恋姻缘:12.15|家庭亲情:94.79|公案冤狱:2.81|除暴侠义:0.0|战争武略:22.58|恩怨报偿:17.27|善恶转化:1.8|礼教品格:57.53|宗教祥瑞:0.99|文人世情:2.61,忠义家国:0.1785|政治权力:1.0|婚恋姻缘:0.053|家庭亲情:0.4132|公案冤狱:0.0122|除暴侠义:0.0|战争武略:0.0984|恩怨报偿:0.0753|善恶转化:0.0078|礼教品格:0.2508|宗教祥瑞:0.0043|文人世情:0.0114,政治权力:金殿、臣、官、王、封侯|家庭亲情:母、亲、太君、关系先验:亲属关系、子,combo-ef44c7e3,03000000/03007002_纪母骂刘邦.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03007003,舌辩封侯,历史戏,30.54,0.2457,0.5066,权力关系,权力关系|冲突关系,政治权力,2,388.29,0.5717,战争武略,政治权力|战争武略,政治权力 + 战争武略,2,2|7,忠义家国:49.02|政治权力:388.29|婚恋姻缘:11.61|家庭亲情:18.81|公案冤狱:6.68|除暴侠义:3.54|战争武略:142.99|恩怨报偿:12.34|善恶转化:5.93|礼教品格:15.15|宗教祥瑞:6.57|文人世情:18.27,忠义家国:0.1262|政治权力:1.0|婚恋姻缘:0.0299|家庭亲情:0.0484|公案冤狱:0.0172|除暴侠义:0.0091|战争武略:0.3683|恩怨报偿:0.0318|善恶转化:0.0153|礼教品格:0.039|宗教祥瑞:0.0169|文人世情:0.0471,政治权力:封侯、臣、丞相、皇帝、关系先验:权力关系|战争武略:将军、战、将、军、类别先验:历史戏,combo-b8241900,03000000/03007003_舌辩封侯.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03007004,甘宁百骑劫魏营,历史戏,38.72,0.1004,0.3021,冲突关系,冲突关系|权力关系|同盟关系,战争武略,7,247.24,0.4049,政治权力,政治权力|战争武略,政治权力 + 战争武略,2,2|7,忠义家国:55.19|政治权力:112.26|婚恋姻缘:1.35|家庭亲情:17.45|公案冤狱:2.0|除暴侠义:75.76|战争武略:247.24|恩怨报偿:18.64|善恶转化:6.5|礼教品格:16.05|宗教祥瑞:2.97|文人世情:55.22,忠义家国:0.2232|政治权力:0.4541|婚恋姻缘:0.0055|家庭亲情:0.0706|公案冤狱:0.0081|除暴侠义:0.3064|战争武略:1.0|恩怨报偿:0.0754|善恶转化:0.0263|礼教品格:0.0649|宗教祥瑞:0.012|文人世情:0.2233,政治权力:丞相、天子、关系先验:权力关系、类别先验:历史戏、君臣|战争武略:将军、兵、战、将、军,combo-b8241900,03000000/03007004_甘宁百骑劫魏营.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03007005,十道本,历史戏,33.01,0.1804,0.2647,权力关系,权力关系|亲属关系,善恶转化,9,232.56,0.3368,政治权力|战争武略,政治权力|战争武略|善恶转化,政治权力 + 战争武略 + 善恶转化,3,2|7|9,忠义家国:37.17|政治权力:140.55|婚恋姻缘:2.52|家庭亲情:79.05|公案冤狱:47.6|除暴侠义:3.69|战争武略:74.66|恩怨报偿:17.18|善恶转化:232.56|礼教品格:23.61|宗教祥瑞:7.65|文人世情:24.25,忠义家国:0.1598|政治权力:0.6043|婚恋姻缘:0.0108|家庭亲情:0.3399|公案冤狱:0.2047|除暴侠义:0.0159|战争武略:0.321|恩怨报偿:0.0739|善恶转化:1.0|礼教品格:0.1015|宗教祥瑞:0.0329|文人世情:0.1043,政治权力:宫、宫廷、金殿、奏本、关系先验:权力关系|善恶转化:赦免、醒悟、悟、改、归,combo-a0cff0f6,03000000/03007005_十道本.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03007006,选元戎,历史戏,36.6,0.2147,0.4461,权力关系,权力关系|亲属关系|冲突关系,战争武略,7,519.85,0.45,善恶转化,战争武略|善恶转化,战争武略 + 善恶转化,2,7|9,忠义家国:14.13|政治权力:100.96|婚恋姻缘:0.45|家庭亲情:67.37|公案冤狱:34.05|除暴侠义:63.99|战争武略:519.85|恩怨报偿:25.14|善恶转化:111.2|礼教品格:33.12|宗教祥瑞:13.37|文人世情:171.54,忠义家国:0.0272|政治权力:0.1942|婚恋姻缘:0.0009|家庭亲情:0.1296|公案冤狱:0.0655|除暴侠义:0.1231|战争武略:1.0|恩怨报偿:0.0484|善恶转化:0.2139|礼教品格:0.0637|宗教祥瑞:0.0257|文人世情:0.33,战争武略:元戎、征战、将、兵、将军|文人世情:状元、书、士、才、文,combo-a8ac4946,03000000/03007006_选元戎.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03008001,风雪夺昆仑,历史戏,51.23,0.0745,0.2666,亲属关系,亲属关系|权力关系|冲突关系,公案冤狱,5,321.74,0.2871,政治权力|战争武略,政治权力|公案冤狱|战争武略,政治权力 + 公案冤狱 + 战争武略,3,2|5|7,忠义家国:21.78|政治权力:163.25|婚恋姻缘:2.07|家庭亲情:132.54|公案冤狱:321.74|除暴侠义:19.51|战争武略:185.82|恩怨报偿:137.66|善恶转化:20.27|礼教品格:43.83|宗教祥瑞:14.09|文人世情:58.14,忠义家国:0.0677|政治权力:0.5074|婚恋姻缘:0.0064|家庭亲情:0.4119|公案冤狱:1.0|除暴侠义:0.0607|战争武略:0.5775|恩怨报偿:0.4279|善恶转化:0.063|礼教品格:0.1362|宗教祥瑞:0.0438|文人世情:0.1807,政治权力:圣旨、王、太师、金殿、天子|公案冤狱:包拯、法场、冤、清官、状|战争武略:将军、将、计、兵、军|恩怨报偿:冤仇、报仇、仇、雪、恨,combo-caa7729e,03000000/03008001_风雪夺昆仑.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03008002,珍珠烈火旗,历史戏,44.23,0.1273,0.3867,亲属关系,亲属关系|权力关系|冲突关系,战争武略,7,219.93,0.2899,政治权力|恩怨报偿,政治权力|战争武略|恩怨报偿,政治权力 + 战争武略 + 恩怨报偿,3,2|7|8,忠义家国:29.63|政治权力:114.4|婚恋姻缘:43.83|家庭亲情:64.11|公案冤狱:8.93|除暴侠义:16.5|战争武略:219.93|恩怨报偿:87.54|善恶转化:73.34|礼教品格:84.11|宗教祥瑞:4.68|文人世情:11.66,忠义家国:0.1347|政治权力:0.5202|婚恋姻缘:0.1993|家庭亲情:0.2915|公案冤狱:0.0406|除暴侠义:0.075|战争武略:1.0|恩怨报偿:0.398|善恶转化:0.3335|礼教品格:0.3824|宗教祥瑞:0.0213|文人世情:0.053,政治权力:丞相、王、朝、关系先验:权力关系、宫|战争武略:将军、战、将、阵、计|恩怨报偿:冤仇、报仇、仇、报、恨|礼教品格:烈、节、烈女、关系先验:亲属关系、孝,combo-1886bc15,03000000/03008002_珍珠烈火旗.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03008003,反延安,历史戏,45.15,0.1032,0.2814,权力关系,权力关系|亲属关系|冲突关系,公案冤狱,5,229.79,0.2669,政治权力|战争武略,政治权力|公案冤狱|战争武略,政治权力 + 公案冤狱 + 战争武略,3,2|5|7,忠义家国:40.2|政治权力:134.77|婚恋姻缘:70.23|家庭亲情:39.36|公案冤狱:229.79|除暴侠义:11.28|战争武略:163.99|恩怨报偿:64.29|善恶转化:61.82|礼教品格:21.66|宗教祥瑞:14.27|文人世情:9.18,忠义家国:0.1749|政治权力:0.5865|婚恋姻缘:0.3056|家庭亲情:0.1713|公案冤狱:1.0|除暴侠义:0.0491|战争武略:0.7137|恩怨报偿:0.2798|善恶转化:0.269|礼教品格:0.0943|宗教祥瑞:0.0621|文人世情:0.0399,政治权力:丞相、王、朝、关系先验:权力关系、臣|公案冤狱:包拯、冤、关系先验:权力关系、审|战争武略:将军、将、兵、兵马、战,combo-caa7729e,03000000/03008003_反延安.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03008004,通海沟,历史戏,36.89,0.134,0.3246,亲属关系,亲属关系|冲突关系|权力关系,婚恋姻缘,3,276.25,0.2932,家庭亲情|战争武略|善恶转化,婚恋姻缘|家庭亲情|战争武略|善恶转化,婚恋姻缘 + 家庭亲情 + 战争武略 + 善恶转化,4,3|4|7|9,忠义家国:26.07|政治权力:75.26|婚恋姻缘:276.25|家庭亲情:54.28|公案冤狱:2.0|除暴侠义:51.16|战争武略:207.04|恩怨报偿:10.32|善恶转化:169.31|礼教品格:28.56|宗教祥瑞:31.54|文人世情:10.4,忠义家国:0.0944|政治权力:0.2724|婚恋姻缘:1.0|家庭亲情:0.1965|公案冤狱:0.0072|除暴侠义:0.1852|战争武略:0.7495|恩怨报偿:0.0374|善恶转化:0.6129|礼教品格:0.1034|宗教祥瑞:0.1142|文人世情:0.0376,婚恋姻缘:婚姻、夫妇、姻缘、小姐、夫妻|战争武略:将军、将、战、兵、军|善恶转化:归顺、善、归、归降、关系先验:冲突关系,combo-2371bab9,03000000/03008004_通海沟.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03009001,黄一刀,历史戏,34.0,0.1232,0.3439,亲属关系,亲属关系,婚恋姻缘,3,149.91,0.4027,家庭亲情,婚恋姻缘|家庭亲情,婚恋姻缘 + 家庭亲情,2,3|4,忠义家国:10.19|政治权力:26.1|婚恋姻缘:149.91|家庭亲情:48.05|公案冤狱:0.0|除暴侠义:26.82|战争武略:36.8|恩怨报偿:4.22|善恶转化:48.21|礼教品格:18.66|宗教祥瑞:2.38|文人世情:0.95,忠义家国:0.068|政治权力:0.1741|婚恋姻缘:1.0|家庭亲情:0.3205|公案冤狱:0.0|除暴侠义:0.1789|战争武略:0.2455|恩怨报偿:0.0282|善恶转化:0.3216|礼教品格:0.1245|宗教祥瑞:0.0159|文人世情:0.0063,婚恋姻缘:夫妇、妻、配、夫妻、郎|善恶转化:恶、投、降、改,combo-a95186b5,03000000/03009001_黄一刀.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03009002,耒阳县,历史戏,31.65,0.157,0.4737,权力关系,权力关系|审判与恩怨关系|同盟关系,公案冤狱,5,111.11,0.2896,战争武略|恩怨报偿,公案冤狱|战争武略|恩怨报偿,公案冤狱 + 战争武略 + 恩怨报偿,3,5|7|8,忠义家国:21.08|政治权力:26.04|婚恋姻缘:14.64|家庭亲情:6.8|公案冤狱:111.11|除暴侠义:4.54|战争武略:66.66|恩怨报偿:26.93|善恶转化:8.73|礼教品格:31.44|宗教祥瑞:5.51|文人世情:60.17,忠义家国:0.1897|政治权力:0.2344|婚恋姻缘:0.1318|家庭亲情:0.0612|公案冤狱:1.0|除暴侠义:0.0409|战争武略:0.6|恩怨报偿:0.2424|善恶转化:0.0786|礼教品格:0.283|宗教祥瑞:0.0496|文人世情:0.5415,公案冤狱:案、审、状、关系先验:审判与恩怨关系、判|战争武略:将、类别先验:历史戏、军师、战、将军|文人世情:书、才、士、文、园,combo-63a7958f,03000000/03009002_耒阳县.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03009003,千秋岭,历史戏,29.97,0.3331,0.3285,冲突关系,冲突关系|亲属关系|同盟关系,战争武略,7,216.04,0.4578,善恶转化,战争武略|善恶转化,战争武略 + 善恶转化,2,7|9,忠义家国:14.5|政治权力:40.45|婚恋姻缘:0.0|家庭亲情:19.16|公案冤狱:0.59|除暴侠义:24.64|战争武略:216.04|恩怨报偿:21.18|善恶转化:86.9|礼教品格:37.05|宗教祥瑞:0.77|文人世情:10.58,忠义家国:0.0671|政治权力:0.1872|婚恋姻缘:0.0|家庭亲情:0.0887|公案冤狱:0.0027|除暴侠义:0.1141|战争武略:1.0|恩怨报偿:0.098|善恶转化:0.4022|礼教品格:0.1715|宗教祥瑞:0.0035|文人世情:0.049,战争武略:战、将、出兵、大战、兵|善恶转化:归顺、降、善、归、关系先验:冲突关系,combo-a8ac4946,03000000/03009003_千秋岭.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03009004,取帅印,历史戏,32.77,0.2731,0.3762,权力关系,权力关系|亲属关系,战争武略,7,163.24,0.3434,政治权力|家庭亲情,政治权力|家庭亲情|战争武略,政治权力 + 家庭亲情 + 战争武略,3,2|4|7,忠义家国:47.43|政治权力:84.21|婚恋姻缘:1.26|家庭亲情:59.58|公案冤狱:2.99|除暴侠义:4.91|战争武略:163.24|恩怨报偿:29.87|善恶转化:6.3|礼教品格:38.64|宗教祥瑞:3.69|文人世情:33.3,忠义家国:0.2906|政治权力:0.5159|婚恋姻缘:0.0077|家庭亲情:0.365|公案冤狱:0.0183|除暴侠义:0.03|战争武略:1.0|恩怨报偿:0.183|善恶转化:0.0386|礼教品格:0.2367|宗教祥瑞:0.0226|文人世情:0.204,政治权力:金殿、君臣、关系先验:权力关系、朝、臣|家庭亲情:子、亲、父、关系先验:亲属关系、儿|战争武略:军师、将军、将、大战、军,combo-e50e2916,03000000/03009004_取帅印.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03011003,浣花溪,历史戏,45.33,0.1961,0.4559,婚恋关系,婚恋关系|亲属关系|权力关系,战争武略,7,253.07,0.2797,政治权力|家庭亲情,政治权力|家庭亲情|战争武略,政治权力 + 家庭亲情 + 战争武略,3,2|4|7,忠义家国:26.19|政治权力:110.91|婚恋姻缘:87.67|家庭亲情:116.69|公案冤狱:11.9|除暴侠义:28.3|战争武略:253.07|恩怨报偿:89.75|善恶转化:30.24|礼教品格:79.97|宗教祥瑞:12.69|文人世情:57.49,忠义家国:0.1035|政治权力:0.4382|婚恋姻缘:0.3464|家庭亲情:0.4611|公案冤狱:0.047|除暴侠义:0.1118|战争武略:1.0|恩怨报偿:0.3546|善恶转化:0.1195|礼教品格:0.316|宗教祥瑞:0.0501|文人世情:0.2272,政治权力:朝廷、朝、封侯、关系先验:权力关系、类别先验:历史戏|家庭亲情:女、子、父、亲、关系先验:亲属关系|战争武略:将军、将、兵、军、城|恩怨报偿:恨、恩、报、雪恨、关系先验:亲属关系,combo-e50e2916,03000000/03011003_浣花溪.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03012001,望儿楼,历史戏,19.46,0.373,0.574,权力关系,权力关系|亲属关系,家庭亲情,4,62.05,0.2358,礼教品格|文人世情,家庭亲情|礼教品格|文人世情,家庭亲情 + 礼教品格 + 文人世情,3,4|10|12,忠义家国:9.0|政治权力:40.48|婚恋姻缘:0.0|家庭亲情:62.05|公案冤狱:2.0|除暴侠义:0.0|战争武略:26.09|恩怨报偿:25.61|善恶转化:0.9|礼教品格:36.24|宗教祥瑞:15.3|文人世情:45.53,忠义家国:0.145|政治权力:0.6523|婚恋姻缘:0.0|家庭亲情:1.0|公案冤狱:0.0322|除暴侠义:0.0|战争武略:0.4204|恩怨报偿:0.4127|善恶转化:0.0145|礼教品格:0.584|宗教祥瑞:0.2466|文人世情:0.7337,政治权力:宫、关系先验:权力关系、类别先验:历史戏、君臣、朝廷|家庭亲情:子、儿、关系先验:亲属关系、女、母|礼教品格:节、孝顺、关系先验:亲属关系、孝|文人世情:楼、灯、文、园,combo-f9c737db,03000000/03012001_望儿楼.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03012002,背楼,历史戏,27.07,0.2227,0.4906,权力关系,权力关系|亲属关系,家庭亲情,4,66.2,0.2565,政治权力|礼教品格,政治权力|家庭亲情|礼教品格,政治权力 + 家庭亲情 + 礼教品格,3,2|4|10,忠义家国:10.5|政治权力:60.16|婚恋姻缘:2.16|家庭亲情:66.2|公案冤狱:2.0|除暴侠义:0.54|战争武略:27.62|恩怨报偿:5.24|善恶转化:2.7|礼教品格:38.04|宗教祥瑞:1.26|文人世情:41.64,忠义家国:0.1586|政治权力:0.9088|婚恋姻缘:0.0326|家庭亲情:1.0|公案冤狱:0.0302|除暴侠义:0.0082|战争武略:0.4173|恩怨报偿:0.0792|善恶转化:0.0408|礼教品格:0.5747|宗教祥瑞:0.019|文人世情:0.6291,政治权力:朝、关系先验:权力关系、宫廷、圣旨、类别先验:历史戏|家庭亲情:子、儿、母、关系先验:亲属关系、母子|礼教品格:节、孝顺、孝、关系先验:亲属关系、教|文人世情:楼、文、才,combo-bf2a650a,03000000/03012002_背楼.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03012003,乾坤福寿镜,家庭戏,66.63,0.0537,0.2775,亲属关系,亲属关系|权力关系|婚恋关系,家庭亲情,4,361.38,0.2335,宗教祥瑞|文人世情,家庭亲情|宗教祥瑞|文人世情,家庭亲情 + 宗教祥瑞 + 文人世情,3,4|11|12,忠义家国:21.64|政治权力:66.01|婚恋姻缘:139.31|家庭亲情:361.38|公案冤狱:37.7|除暴侠义:135.05|战争武略:98.62|恩怨报偿:72.64|善恶转化:76.92|礼教品格:56.38|宗教祥瑞:174.59|文人世情:307.36,忠义家国:0.0599|政治权力:0.1827|婚恋姻缘:0.3855|家庭亲情:1.0|公案冤狱:0.1043|除暴侠义:0.3737|战争武略:0.2729|恩怨报偿:0.201|善恶转化:0.2129|礼教品格:0.156|宗教祥瑞:0.4831|文人世情:0.8505,婚恋姻缘:夫人、妻、成亲、鸳鸯、关系先验:婚恋关系|家庭亲情:母子、子、母亲、母、儿|宗教祥瑞:寿、仙、妖、观音、神|文人世情:状元、士、风流、诗、花园,combo-e3c555b3,03000000/03012003_乾坤福寿镜.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03013001,渭水河,历史戏,29.04,0.1959,0.4603,权力关系,权力关系|亲属关系,家庭亲情,4,52.53,0.2027,政治权力|战争武略|礼教品格,政治权力|家庭亲情|战争武略|礼教品格,政治权力 + 家庭亲情 + 战争武略 + 礼教品格,4,2|4|7|10,忠义家国:10.08|政治权力:39.97|婚恋姻缘:0.9|家庭亲情:52.53|公案冤狱:5.12|除暴侠义:4.23|战争武略:40.3|恩怨报偿:2.72|善恶转化:13.83|礼教品格:46.5|宗教祥瑞:21.29|文人世情:21.71,忠义家国:0.1919|政治权力:0.7609|婚恋姻缘:0.0171|家庭亲情:1.0|公案冤狱:0.0975|除暴侠义:0.0805|战争武略:0.7671|恩怨报偿:0.0518|善恶转化:0.2633|礼教品格:0.8852|宗教祥瑞:0.4052|文人世情:0.4132,政治权力:帝、关系先验:权力关系、宫、类别先验:历史戏、王|家庭亲情:母、子、亲、关系先验:亲属关系、儿|战争武略:军、类别先验:历史戏、将、将军、关系先验:权力关系|礼教品格:教、节、关系先验:亲属关系、孝、礼,combo-1cdee729,03000000/03013001_渭水河.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03013002,查关,历史戏,26.15,0.3552,0.3868,亲属关系,亲属关系|权力关系|冲突关系,战争武略,7,211.43,0.5592,政治权力,政治权力|战争武略,政治权力 + 战争武略,2,2|7,忠义家国:9.0|政治权力:58.78|婚恋姻缘:4.95|家庭亲情:49.77|公案冤狱:2.0|除暴侠义:7.59|战争武略:211.43|恩怨报偿:11.46|善恶转化:2.0|礼教品格:19.47|宗教祥瑞:0.77|文人世情:0.86,忠义家国:0.0426|政治权力:0.278|婚恋姻缘:0.0234|家庭亲情:0.2354|公案冤狱:0.0095|除暴侠义:0.0359|战争武略:1.0|恩怨报偿:0.0542|善恶转化:0.0095|礼教品格:0.0921|宗教祥瑞:0.0036|文人世情:0.004,政治权力:朝、帝、关系先验:权力关系、类别先验:历史戏、皇帝|战争武略:征战、关、战、城、类别先验:历史戏,combo-b8241900,03000000/03013002_查关.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
03013003,百寿图,家庭戏,26.89,0.3351,0.2705,权力关系,权力关系|亲属关系|同盟关系,家庭亲情,4,190.28,0.4339,宗教祥瑞,家庭亲情|宗教祥瑞,家庭亲情 + 宗教祥瑞,2,4|11,忠义家国:20.94|政治权力:26.84|婚恋姻缘:4.54|家庭亲情:190.28|公案冤狱:3.17|除暴侠义:6.04|战争武略:34.31|恩怨报偿:6.22|善恶转化:54.27|礼教品格:20.72|宗教祥瑞:55.73|文人世情:15.45,忠义家国:0.1101|政治权力:0.141|婚恋姻缘:0.0239|家庭亲情:1.0|公案冤狱:0.0167|除暴侠义:0.0317|战争武略:0.1803|恩怨报偿:0.0327|善恶转化:0.2852|礼教品格:0.1089|宗教祥瑞:0.2929|文人世情:0.0812,家庭亲情:父母、母、父、子、类别先验:家庭戏|宗教祥瑞:寿、仙、雷、神、佛,combo-f02c3a74,03000000/03013003_百寿图.pdf,重算版：遍历全文索引；题名、情节梗概高权重，全文台词低权重；按相对强度保留真实主题组合。
