数据范围,主题组合ID,主题组合,主题组合显示,主题数量,主题序号集合,x起点序号,x终点序号,剧本数量,矩阵行排序,主要核心主题,核心主题分布,主要核心关系,核心关系分布,剧目类别分布,平均网络密度,平均度中心化,平均内容量权重,剧本ID列表,代表剧目列表
全量,T020708,政治权力|战争武略|恩怨报偿,政治权力 + 战争武略 + 恩怨报偿,3,2|7|8,2,8,17,21,战争武略,战争武略:11|恩怨报偿:5|政治权力:1,冲突关系,冲突关系:8|权力关系:6|审判与恩怨关系:3,历史戏:13|神怪戏:2|公案戏:1|江湖戏:1,0.8032,0.2158,36.8424,01003011; 01006001; 01018006; 01022004; 02005028; 02005031; 03008002; 03047003; 03051004; 03075007; 03106004; 04013002; 05007006; 70001108; 70005116; 70201203; 80000011,斩黄袍；连营寨；煤山恨；明末遗恨；报信；四平山；珍珠烈火旗；哭秦庭；马陵道；斩于吉；窃兵符；千里走单骑；斩黄袍；徐策跑城；煤山恨
全量,T030410,婚恋姻缘|家庭亲情|礼教品格,婚恋姻缘 + 家庭亲情 + 礼教品格,3,3|4|10,3,10,16,22,婚恋姻缘,婚恋姻缘:8|家庭亲情:4|礼教品格:4,婚恋关系,婚恋关系:10|亲属关系:5|同盟关系:1,家庭戏:14|公案戏:2,0.9268,0.1188,30.4937,01003003; 01008003; 01008011; 01010006; 01015010; 01018002; 01030010; 02012045; 03004004; 03031005; 03057007; 04021003; 70202106; 70202112; 70805101; 70902121,桑园会；汾河湾；双钉记；忠孝图；紫荆树；孝妇羹；十二红；弓砚缘；南天门；双摇会；晴雯补裘；小放牛；碧玉簪；锁麟囊；锁麟囊
全量,T0609,除暴侠义|善恶转化,除暴侠义 + 善恶转化,2,6|9,6,9,15,23,除暴侠义,除暴侠义:13|善恶转化:2,同盟关系,同盟关系:4|亲属关系:4|冲突关系:4|婚恋关系:2|权力关系:1,江湖戏:8|家庭戏:3|神怪戏:2|历史戏:2,0.5307,0.0858,26.4793,01014009; 01015014; 01018012; 01028006; 01029005; 02006035; 02009026; 02012013; 02012020; 04011005; 04023002; 13001007; 70402104; 70901105; 70901115,除三害；赵家楼；戏叔；蜈蚣岭；普球山；花魔寨；林冲夜奔；丁彪投宿；莲花湖；清风寨；武松打虎；敲骨求金；除三害；义侠记·打虎；宝剑记·夜奔
全量,T020709,政治权力|战争武略|善恶转化,政治权力 + 战争武略 + 善恶转化,3,2|7|9,2,9,14,24,战争武略,战争武略:8|政治权力:4|善恶转化:2,权力关系,权力关系:7|冲突关系:6|同盟关系:1,历史戏:13|家庭戏:1,0.6268,0.1751,32.9143,01013015; 02003004; 03001002; 03006003; 03007005; 03021004; 03021012; 03021013; 03041003; 03042004; 05002003; 70002101; 70402105; 70601104,玉门关；捉放曹；平陆浑；白门楼；十道本；投军降马；银空山；大登殿；玉门关；史可法；陈桥兵变；群英会·借东风；断密涧；赤壁鏖兵
全量,T0210,政治权力|礼教品格,政治权力 + 礼教品格,2,2|10,2,10,13,25,礼教品格,礼教品格:9|政治权力:4,权力关系,权力关系:11|亲属关系:1|冲突关系:1,历史戏:9|家庭戏:2|神怪戏:2,0.8925,0.1561,29.2254,01001005; 01010005; 01028009; 02003021; 02008026; 03054006; 04042002; 05014005; 08005002; 70006103; 70902133; 70902142; 94000002,打鼓骂曹；忠孝牌；沙桥饯别；骂曹饯行；洒金桥；徐母骂曹；击鼓骂曹；左慈骂曹；击鼓骂曹；击鼓骂曹；长生殿·弹词；四声猿·骂曹；海瑞上疏
全量,T020712,政治权力|战争武略|文人世情,政治权力 + 战争武略 + 文人世情,3,2|7|12,2,12,13,26,战争武略,战争武略:6|政治权力:6|文人世情:1,权力关系,权力关系:9|冲突关系:2|同盟关系:2,历史戏:12|江湖戏:1,0.7882,0.0856,33.2769,01001015; 01009016; 02001046; 02005032; 02006009; 02012041; 03041002; 04003001; 70001107; 70004107; 70901132; 70902129; 80000027,战北原；进蛮诗；装疯；晋阳宫；御果园；弓砚缘；投笔封侯；三顾茅庐；萧何月下追韩信；未央宫斩韩信；桃花扇·争座；长生殿·惊变；三顾茅庐
全量,T0911,善恶转化|宗教祥瑞,善恶转化 + 宗教祥瑞,2,9|11,9,11,12,27,宗教祥瑞,宗教祥瑞:12,亲属关系,亲属关系:5|权力关系:4|冲突关系:2|婚恋关系:1,神怪戏:12,0.6912,0.2309,24.7183,01002018; 02001001; 02001002; 02001004; 02001008; 02006025; 02006026; 02006033; 02007031; 03099002; 04049001; 13004003,目莲救母；天官赐福；三多九如；遐龄永祝；财源辐辏；安天会；观音院；闻仁驱邪；目莲记；流沙河；无底洞；安天会·偷桃
全量,T020607,政治权力|除暴侠义|战争武略,政治权力 + 除暴侠义 + 战争武略,3,2|6|7,2,7,12,28,战争武略,战争武略:6|除暴侠义:5|政治权力:1,权力关系,权力关系:10|冲突关系:2,历史戏:8|江湖戏:2|公案戏:2,0.8375,0.1361,30.5925,01007001; 01017003; 01027010; 01038001; 02001028; 02002030; 02005033; 02012033; 03092002; 05003001; 70401104; 70901118,卖马；假金牌；晋阳宫；珠帘寨；米注山；太行山；晋阳宫；五里碑；湘江会；临潼会；青梅煮酒论英雄；麒麟阁·三挡
全量,T0608,除暴侠义|恩怨报偿,除暴侠义 + 恩怨报偿,2,6|8,6,8,11,29,除暴侠义,除暴侠义:10|恩怨报偿:1,审判与恩怨关系,审判与恩怨关系:6|亲属关系:3|冲突关系:1|婚恋关系:1,江湖戏:8|历史戏:2|公案戏:1,0.553,0.3551,39.2418,01006009; 01012004; 01018013; 01022005; 02009041; 02012003; 02012024; 03071001; 04023001; 04024004; 80000013,连环套；莲花湖；迷人馆；青风寨；百花庄；常云观；霸王庄；野猪林；武松；一箭仇；野猪林
全量,T0412,家庭亲情|文人世情,家庭亲情 + 文人世情,2,4|12,4,12,10,30,文人世情,文人世情:10,亲属关系,亲属关系:8|权力关系:2,家庭戏:9|神怪戏:1,0.8538,0.1697,28.527,01002005; 01006005; 01011014; 03031004; 04026001; 05011003; 13003008; 70203103; 70902109; 94000005,落花园；状元谱；洛阳桥；顶花砖；游园惊梦；三进士；画兰；元宵谜；牡丹亭·游园；诗文会
全量,T020710,政治权力|战争武略|礼教品格,政治权力 + 战争武略 + 礼教品格,3,2|7|10,2,10,10,31,战争武略,战争武略:5|礼教品格:5,权力关系,权力关系:8|冲突关系:2,历史戏:8|神怪戏:2,0.8574,0.169,25.268,01012016; 01022006; 02006008; 02006073; 02006074; 03027006; 05014004; 14002003; 70901107; 70902131,双观星；太平桥；秦王吊孝；太平桥；太平桥；骂杨广；张松骂曹；打鼓骂曹；千金记·别姬；长生殿·闻铃
全量,T040608,家庭亲情|除暴侠义|恩怨报偿,家庭亲情 + 除暴侠义 + 恩怨报偿,3,4|6|8,4,8,10,32,除暴侠义,除暴侠义:5|家庭亲情:3|恩怨报偿:2,亲属关系,亲属关系:6|审判与恩怨关系:3|冲突关系:1,江湖戏:4|公案戏:4|历史戏:1|家庭戏:1,0.7146,0.3662,41.478,01019009; 01024002; 01030004; 02012034; 02012035; 02012036; 03006006; 11001001; 70001201; 70805901,曾头市；宏碧缘；三雅园；东昌府；东昌府；东昌府；打登州；连环套；打渔杀家；李逵探母
全量,T040711,家庭亲情|战争武略|宗教祥瑞,家庭亲情 + 战争武略 + 宗教祥瑞,3,4|7|11,4,11,10,33,宗教祥瑞,宗教祥瑞:7|战争武略:3,冲突关系,冲突关系:7|亲属关系:2|同盟关系:1,神怪戏:6|家庭戏:2|历史戏:1|公案戏:1,0.6639,0.3154,26.169,01001002; 01007014; 01010011; 01021005; 01037006; 02001049; 02001050; 02008061; 02010037; 03048001,洪羊洞；五雷阵；人才驸马；泗州城；碧游宫；五雷阵；五雷阵；双沙河；鬼辩；打城隍
全量,T010204,忠义家国|政治权力|家庭亲情,忠义家国 + 政治权力 + 家庭亲情,3,1|2|4,1,4,9,34,忠义家国,忠义家国:7|政治权力:2,冲突关系,冲突关系:4|权力关系:4|亲属关系:1,历史戏:5|神怪戏:2|公案戏:1|家庭戏:1,0.27,0.0361,32.3744,02008007; 02008008; 02008009; 02008010; 02008011; 02008012; 03031001; 03084004; 70002103,双尽忠；双尽忠；双尽忠；双尽忠；双尽忠；双尽忠；扫地挂画；四红图；十老安刘
全量,T020405,政治权力|家庭亲情|公案冤狱,政治权力 + 家庭亲情 + 公案冤狱,3,2|4|5,2,5,9,35,公案冤狱,公案冤狱:4|家庭亲情:4|政治权力:1,亲属关系,亲属关系:4|审判与恩怨关系:3|权力关系:2,公案戏:5|历史戏:3|家庭戏:1,0.8481,0.0704,27.3078,01004012; 01005008; 01006014; 01009011; 01039004; 02008044; 03034006; 03055004; 70201201,女起解；玉堂春；金水桥；雁门关；太君辞朝；百箭会；太君辞朝；告御状；女起解
全量,T020408,政治权力|家庭亲情|恩怨报偿,政治权力 + 家庭亲情 + 恩怨报偿,3,2|4|8,2,8,9,36,政治权力,政治权力:5|家庭亲情:3|恩怨报偿:1,权力关系,权力关系:4|亲属关系:3|审判与恩怨关系:1|冲突关系:1,历史戏:5|公案戏:2|家庭戏:1|江湖戏:1,0.9667,0.0593,31.1478,01032012; 02012043; 03097003; 05003002; 14002010; 70006102; 70204106; 70401107; 80000019,浣纱溪；弓砚缘；长亭会；楚宫恨；宇宙锋；捉放曹；渔夫恨；打龙棚；打严嵩
全量,T041012,家庭亲情|礼教品格|文人世情,家庭亲情 + 礼教品格 + 文人世情,3,4|10|12,4,12,9,37,家庭亲情,家庭亲情:7|文人世情:2,亲属关系,亲属关系:9,家庭戏:8|江湖戏:1,0.9556,0.0401,24.9078,01003018; 01010001; 01020010; 02007023; 03012001; 03057002; 70902120; 70902123; 70902145,丑表功；马鞍山；青楼梦；翠凤楼；望儿楼；黛玉伤春；玉簪记·问病；狮吼记·跪池；琵琶记·卖发
