数据范围,主题组合ID,主题组合,主题组合显示,主题数量,主题序号集合,x起点序号,x终点序号,剧本数量,矩阵行排序,主要核心主题,核心主题分布,主要核心关系,核心关系分布,剧目类别分布,平均网络密度,平均度中心化,平均内容量权重,剧本ID列表,代表剧目列表
全量,T010709,忠义家国|战争武略|善恶转化,忠义家国 + 战争武略 + 善恶转化,3,1|7|9,1,9,2,106,忠义家国,忠义家国:1|战争武略:1,亲属关系,亲属关系:1|冲突关系:1,历史戏:2,0.881,0.1667,48.195,02010024; 03084002,洞庭湖；南界关
全量,T020310,政治权力|婚恋姻缘|礼教品格,政治权力 + 婚恋姻缘 + 礼教品格,3,2|3|10,2,10,2,107,婚恋姻缘,婚恋姻缘:2,婚恋关系,婚恋关系:2,家庭戏:2,0.5,0.0,28.2,01005001; 01036004,武家坡；翠花宫
全量,T031012,婚恋姻缘|礼教品格|文人世情,婚恋姻缘 + 礼教品格 + 文人世情,3,3|10|12,3,12,2,108,婚恋姻缘,婚恋姻缘:1|文人世情:1,婚恋关系,婚恋关系:2,家庭戏:1|公案戏:1,0.9333,0.1,33.555,01005013; 03022002,双摇会；沙叱利
全量,T030409,婚恋姻缘|家庭亲情|善恶转化,婚恋姻缘 + 家庭亲情 + 善恶转化,3,3|4|9,3,9,2,109,婚恋姻缘,婚恋姻缘:1|家庭亲情:1,婚恋关系,婚恋关系:1|亲属关系:1,家庭戏:2,0.95,0.0833,29.63,01038004; 70601110,珍珠衫；变羊记
全量,T030712,婚恋姻缘|战争武略|文人世情,婚恋姻缘 + 战争武略 + 文人世情,3,3|7|12,3,12,2,110,文人世情,文人世情:1|婚恋姻缘:1,同盟关系,同盟关系:1|婚恋关系:1,家庭戏:2,0.8333,0.3333,28.765,70001106; 70902114,乌龙院；紫钗记·折柳
全量,T041011,家庭亲情|礼教品格|宗教祥瑞,家庭亲情 + 礼教品格 + 宗教祥瑞,3,4|10|11,4,11,2,111,家庭亲情,家庭亲情:2,亲属关系,亲属关系:2,家庭戏:1|公案戏:1,0.881,0.1667,33.29,01008010; 01028001,二姐逛庙；童女斩蛇
全量,T040510,家庭亲情|公案冤狱|礼教品格,家庭亲情 + 公案冤狱 + 礼教品格,3,4|5|10,4,10,2,112,公案冤狱,公案冤狱:1|家庭亲情:1,审判与恩怨关系,审判与恩怨关系:1|亲属关系:1,公案戏:2,0.9167,0.1667,25.165,01005006; 01027008,六月雪；打沙锅
全量,T040511,家庭亲情|公案冤狱|宗教祥瑞,家庭亲情 + 公案冤狱 + 宗教祥瑞,3,4|5|11,4,11,2,113,宗教祥瑞,宗教祥瑞:1|家庭亲情:1,审判与恩怨关系,审判与恩怨关系:1|同盟关系:1,家庭戏:1|历史戏:1,0.6801,0.3271,31.375,01010017; 01026008,烟鬼叹；三结义
全量,T040506,家庭亲情|公案冤狱|除暴侠义,家庭亲情 + 公案冤狱 + 除暴侠义,3,4|5|6,4,6,2,114,除暴侠义,除暴侠义:2,亲属关系,亲属关系:2,江湖戏:2,0.6737,0.1871,46.725,01027003; 03063001,三门街；酒丐
全量,T040507,家庭亲情|公案冤狱|战争武略,家庭亲情 + 公案冤狱 + 战争武略,3,4|5|7,4,7,2,115,公案冤狱,公案冤狱:1|家庭亲情:1,审判与恩怨关系,审判与恩怨关系:1|亲属关系:1,家庭戏:1|历史戏:1,0.8125,0.1771,44.625,02009020; 70002104,路遥知马力；串龙珠
全量,T040811,家庭亲情|恩怨报偿|宗教祥瑞,家庭亲情 + 恩怨报偿 + 宗教祥瑞,3,4|8|11,4,11,2,116,恩怨报偿,恩怨报偿:1|家庭亲情:1,审判与恩怨关系,审判与恩怨关系:1|亲属关系:1,家庭戏:1|公案戏:1,0.8333,0.5,26.645,01028003; 03048006,行路哭灵；定计化缘
全量,T050709,公案冤狱|战争武略|善恶转化,公案冤狱 + 战争武略 + 善恶转化,3,5|7|9,5,9,2,117,公案冤狱,公案冤狱:1|战争武略:1,审判与恩怨关系,审判与恩怨关系:1|冲突关系:1,神怪戏:1|历史戏:1,0.4286,0.1,26.515,02006037; 04017001,法场明冤；战太平
全量,T060710,除暴侠义|战争武略|礼教品格,除暴侠义 + 战争武略 + 礼教品格,3,6|7|10,6,10,2,118,除暴侠义,除暴侠义:2,冲突关系,冲突关系:2,家庭戏:1|江湖戏:1,0.5,0.0,24.395,01010014; 90000001,卖饽饽；红线盗盒
全量,T060711,除暴侠义|战争武略|宗教祥瑞,除暴侠义 + 战争武略 + 宗教祥瑞,3,6|7|11,6,11,2,119,战争武略,战争武略:2,冲突关系,冲突关系:2,神怪戏:1|历史戏:1,0.8667,0.2,32.8,02010034; 70901103,大悲楼；昊天塔·激良
全量,T060708,除暴侠义|战争武略|恩怨报偿,除暴侠义 + 战争武略 + 恩怨报偿,3,6|7|8,6,8,2,120,除暴侠义,除暴侠义:1|战争武略:1,审判与恩怨关系,审判与恩怨关系:1|冲突关系:1,历史戏:2,1.0,0.0,50.335,03071002; 05015002,小鳌山；恶虎关
全量,T070812,战争武略|恩怨报偿|文人世情,战争武略 + 恩怨报偿 + 文人世情,3,7|8|12,7,12,2,121,战争武略,战争武略:2,冲突关系,冲突关系:2,历史戏:2,0.9167,0.1667,27.085,01001011; 80000031,文昭关；文昭关
全量,T070910,战争武略|善恶转化|礼教品格,战争武略 + 善恶转化 + 礼教品格,3,7|9|10,7,10,2,122,战争武略,战争武略:1|善恶转化:1,同盟关系,同盟关系:1|冲突关系:1,历史戏:2,1.0,0.0,25.465,01010015; 70902108,荐诸葛；牧羊记·望乡
全量,T081112,恩怨报偿|宗教祥瑞|文人世情,恩怨报偿 + 宗教祥瑞 + 文人世情,3,8|11|12,8,12,2,123,宗教祥瑞,宗教祥瑞:1|文人世情:1,审判与恩怨关系,审判与恩怨关系:2,神怪戏:1|家庭戏:1,0.25,0.6667,22.82,01018003; 70902162,骂阎罗；疗妒羹·题曲
全量,T01020607,忠义家国|政治权力|除暴侠义|战争武略,忠义家国 + 政治权力 + 除暴侠义 + 战争武略,4,1|2|6|7,1,7,2,124,战争武略,战争武略:2,冲突关系,冲突关系:1|权力关系:1,江湖戏:1|历史戏:1,0.9286,0.0952,41.59,03059002; 03085003,请关胜；汉津口
全量,T01020708,忠义家国|政治权力|战争武略|恩怨报偿,忠义家国 + 政治权力 + 战争武略 + 恩怨报偿,4,1|2|7|8,1,8,2,125,恩怨报偿,恩怨报偿:1|政治权力:1,审判与恩怨关系,审判与恩怨关系:1|权力关系:1,历史戏:2,0.7019,0.322,57.595,02001044; 70001310,西施；明末遗恨
全量,T02030408,政治权力|婚恋姻缘|家庭亲情|恩怨报偿,政治权力 + 婚恋姻缘 + 家庭亲情 + 恩怨报偿,4,2|3|4|8,2,8,2,126,政治权力,政治权力:2,权力关系,权力关系:2,历史戏:1|家庭戏:1,0.7641,0.2538,58.01,01040007; 03050001,郑恩做亲；闹花灯
全量,T02030712,政治权力|婚恋姻缘|战争武略|文人世情,政治权力 + 婚恋姻缘 + 战争武略 + 文人世情,4,2|3|7|12,2,12,2,127,政治权力,政治权力:1|战争武略:1,权力关系,权力关系:1|冲突关系:1,家庭戏:1|神怪戏:1,1.0,0.0,31.485,70802107; 80000025,王宝钏；春闺梦
全量,T02040512,政治权力|家庭亲情|公案冤狱|文人世情,政治权力 + 家庭亲情 + 公案冤狱 + 文人世情,4,2|4|5|12,2,12,2,128,公案冤狱,公案冤狱:2,审判与恩怨关系,审判与恩怨关系:2,公案戏:2,0.8,0.1806,28.905,01005017; 14001004,柳林池；九更天
全量,T02040610,政治权力|家庭亲情|除暴侠义|礼教品格,政治权力 + 家庭亲情 + 除暴侠义 + 礼教品格,4,2|4|6|10,2,10,2,129,家庭亲情,家庭亲情:2,亲属关系,亲属关系:2,历史戏:1|江湖戏:1,0.9667,0.05,25.515,01004011; 01014016,飞虎山；董家山
全量,T02040608,政治权力|家庭亲情|除暴侠义|恩怨报偿,政治权力 + 家庭亲情 + 除暴侠义 + 恩怨报偿,4,2|4|6|8,2,8,2,130,除暴侠义,除暴侠义:2,权力关系,权力关系:2,江湖戏:2,0.314,0.2606,62.57,01022012; 01025002,天宝图；宏碧缘
全量,T02040712,政治权力|家庭亲情|战争武略|文人世情,政治权力 + 家庭亲情 + 战争武略 + 文人世情,4,2|4|7|12,2,12,2,131,政治权力,政治权力:2,权力关系,权力关系:2,家庭戏:1|历史戏:1,0.5,0.0,36.485,01032005; 70202107,新四十八扯；梅妃
全量,T02060708,政治权力|除暴侠义|战争武略|恩怨报偿,政治权力 + 除暴侠义 + 战争武略 + 恩怨报偿,4,2|6|7|8,2,8,2,132,政治权力,政治权力:1|恩怨报偿:1,权力关系,权力关系:1|审判与恩怨关系:1,历史戏:2,0.375,0.1905,38.175,01015017; 70401101,临潼山；荆轲传
全量,T02060709,政治权力|除暴侠义|战争武略|善恶转化,政治权力 + 除暴侠义 + 战争武略 + 善恶转化,4,2|6|7|9,2,9,2,133,政治权力,政治权力:1|善恶转化:1,权力关系,权力关系:2,历史戏:2,0.8273,0.2111,52.265,01021001; 02010009,许田射鹿；龙虎玉
全量,T02070811,政治权力|战争武略|恩怨报偿|宗教祥瑞,政治权力 + 战争武略 + 恩怨报偿 + 宗教祥瑞,4,2|7|8|11,2,11,2,134,战争武略,战争武略:1|宗教祥瑞:1,权力关系,权力关系:2,家庭戏:1|历史戏:1,0.95,0.0833,32.385,01029002; 03051002,关王庙；马陵道
全量,T02070809,政治权力|战争武略|恩怨报偿|善恶转化,政治权力 + 战争武略 + 恩怨报偿 + 善恶转化,4,2|7|8|9,2,9,2,135,恩怨报偿,恩怨报偿:1|战争武略:1,权力关系,权力关系:2,历史戏:2,0.8667,0.2,35.46,02012046; 03068005,弓砚缘；白蟒台
全量,T03041012,婚恋姻缘|家庭亲情|礼教品格|文人世情,婚恋姻缘 + 家庭亲情 + 礼教品格 + 文人世情,4,3|4|10|12,3,12,2,136,家庭亲情,家庭亲情:2,亲属关系,亲属关系:2,家庭戏:2,0.8056,0.25,34.37,01005010; 01006019,御碑亭；三疑计
全量,T03040510,婚恋姻缘|家庭亲情|公案冤狱|礼教品格,婚恋姻缘 + 家庭亲情 + 公案冤狱 + 礼教品格,4,3|4|5|10,3,10,2,137,礼教品格,礼教品格:1|公案冤狱:1,婚恋关系,婚恋关系:1|审判与恩怨关系:1,家庭戏:1|公案戏:1,0.8333,0.3333,24.49,01004016; 70902170,小上坟；白罗衫·游园
全量,T03040507,婚恋姻缘|家庭亲情|公案冤狱|战争武略,婚恋姻缘 + 家庭亲情 + 公案冤狱 + 战争武略,4,3|4|5|7,3,7,2,138,公案冤狱,公案冤狱:1|战争武略:1,审判与恩怨关系,审判与恩怨关系:2,公案戏:2,0.65,0.5833,49.97,05018003; 05019002,五彩舆；五彩舆
全量,T03040508,婚恋姻缘|家庭亲情|公案冤狱|恩怨报偿,婚恋姻缘 + 家庭亲情 + 公案冤狱 + 恩怨报偿,4,3|4|5|8,3,8,2,139,公案冤狱,公案冤狱:2,审判与恩怨关系,审判与恩怨关系:2,家庭戏:1|公案戏:1,0.9,0.1667,53.05,03050002; 94000006,九焰山；春草闯堂
全量,T03040708,婚恋姻缘|家庭亲情|战争武略|恩怨报偿,婚恋姻缘 + 家庭亲情 + 战争武略 + 恩怨报偿,4,3|4|7|8,3,8,2,140,婚恋姻缘,婚恋姻缘:1|战争武略:1,婚恋关系,婚恋关系:1|冲突关系:1,家庭戏:1|历史戏:1,0.7193,0.2206,37.695,01007011; 08005004,蝴蝶杯；鹦鹉洲
全量,T04060708,家庭亲情|除暴侠义|战争武略|恩怨报偿,家庭亲情 + 除暴侠义 + 战争武略 + 恩怨报偿,4,4|6|7|8,4,8,2,141,家庭亲情,家庭亲情:2,亲属关系,亲属关系:1|冲突关系:1,江湖戏:1|历史戏:1,0.7857,0.1905,31.615,01014022; 02001033,四杰村；搜孤救孤
全量,T04070911,家庭亲情|战争武略|善恶转化|宗教祥瑞,家庭亲情 + 战争武略 + 善恶转化 + 宗教祥瑞,4,4|7|9|11,4,11,2,142,战争武略,战争武略:1|宗教祥瑞:1,权力关系,权力关系:1|亲属关系:1,神怪戏:2,0.85,0.25,37.855,01038003; 02006043,芭蕉扇；九节山
全量,T0809,恩怨报偿|善恶转化,恩怨报偿 + 善恶转化,2,8|9,8,9,1,143,恩怨报偿,恩怨报偿:1,权力关系,权力关系:1,家庭戏:1,0.0,0.0,22.07,01032008,白傅遣姬
全量,T010210,忠义家国|政治权力|礼教品格,忠义家国 + 政治权力 + 礼教品格,3,1|2|10,1,10,1,144,政治权力,政治权力:1,权力关系,权力关系:1,历史戏:1,0.8,0.3333,26.44,70901147,奏朝草诏
全量,T010206,忠义家国|政治权力|除暴侠义,忠义家国 + 政治权力 + 除暴侠义,3,1|2|6,1,6,1,145,忠义家国,忠义家国:1,权力关系,权力关系:1,公案戏:1,0.3333,0.5,41.55,02002032,汉忠烈
全量,T010306,忠义家国|婚恋姻缘|除暴侠义,忠义家国 + 婚恋姻缘 + 除暴侠义,3,1|3|6,1,6,1,146,除暴侠义,除暴侠义:1,婚恋关系,婚恋关系:1,神怪戏:1,0.8333,0.3333,23.35,01014020,红梅阁
全量,T010307,忠义家国|婚恋姻缘|战争武略,忠义家国 + 婚恋姻缘 + 战争武略,3,1|3|7,1,7,1,147,忠义家国,忠义家国:1,婚恋关系,婚恋关系:1,历史戏:1,0.7778,0.2857,35.77,04034003,牛皋招亲
全量,T010406,忠义家国|家庭亲情|除暴侠义,忠义家国 + 家庭亲情 + 除暴侠义,3,1|4|6,1,6,1,148,忠义家国,忠义家国:1,亲属关系,亲属关系:1,公案戏:1,1.0,0.0,34.74,02002035,汉忠烈
全量,T010510,忠义家国|公案冤狱|礼教品格,忠义家国 + 公案冤狱 + 礼教品格,3,1|5|10,1,10,1,149,忠义家国,忠义家国:1,审判与恩怨关系,审判与恩怨关系:1,公案戏:1,0.0,0.0,47.62,02002033,汉忠烈
全量,T010506,忠义家国|公案冤狱|除暴侠义,忠义家国 + 公案冤狱 + 除暴侠义,3,1|5|6,1,6,1,150,除暴侠义,除暴侠义:1,权力关系,权力关系:1,历史戏:1,0.8132,0.1282,36.34,70901117,清忠谱·五人义
全量,T010608,忠义家国|除暴侠义|恩怨报偿,忠义家国 + 除暴侠义 + 恩怨报偿,3,1|6|8,1,8,1,151,恩怨报偿,恩怨报偿:1,审判与恩怨关系,审判与恩怨关系:1,历史戏:1,1.0,0.0,23.98,01031003,博浪锥
全量,T010712,忠义家国|战争武略|文人世情,忠义家国 + 战争武略 + 文人世情,3,1|7|12,1,12,1,152,战争武略,战争武略:1,权力关系,权力关系:1,历史戏:1,1.0,0.0,34.01,03054009,三顾茅庐
全量,T021112,政治权力|宗教祥瑞|文人世情,政治权力 + 宗教祥瑞 + 文人世情,3,2|11|12,2,12,1,153,文人世情,文人世情:1,权力关系,权力关系:1,公案戏:1,0.7333,0.4,30.29,01032007,党人碑
全量,T020511,政治权力|公案冤狱|宗教祥瑞,政治权力 + 公案冤狱 + 宗教祥瑞,3,2|5|11,2,11,1,154,宗教祥瑞,宗教祥瑞:1,权力关系,权力关系:1,江湖戏:1,0.6667,0.6667,24.23,02009029,灵官殿
全量,T020512,政治权力|公案冤狱|文人世情,政治权力 + 公案冤狱 + 文人世情,3,2|5|12,2,12,1,155,文人世情,文人世情:1,审判与恩怨关系,审判与恩怨关系:1,公案戏:1,1.0,0.0,32.23,80000017,打面缸
全量,T020508,政治权力|公案冤狱|恩怨报偿,政治权力 + 公案冤狱 + 恩怨报偿,3,2|5|8,2,8,1,156,公案冤狱,公案冤狱:1,审判与恩怨关系,审判与恩怨关系:1,历史戏:1,1.0,0.0,27.31,02003022,打吉平
全量,T020912,政治权力|善恶转化|文人世情,政治权力 + 善恶转化 + 文人世情,3,2|9|12,2,12,1,157,文人世情,文人世情:1,审判与恩怨关系,审判与恩怨关系:1,公案戏:1,1.0,0.0,32.33,03031006,打面缸
全量,T030511,婚恋姻缘|公案冤狱|宗教祥瑞,婚恋姻缘 + 公案冤狱 + 宗教祥瑞,3,3|5|11,3,11,1,158,宗教祥瑞,宗教祥瑞:1,婚恋关系,婚恋关系:1,家庭戏:1,0.0,0.0,34.04,02005009,九莲灯
全量,T030506,婚恋姻缘|公案冤狱|除暴侠义,婚恋姻缘 + 公案冤狱 + 除暴侠义,3,3|5|6,3,6,1,159,除暴侠义,除暴侠义:1,婚恋关系,婚恋关系:1,江湖戏:1,0.5897,0.2879,31.93,01020005,义旗令
全量,T030612,婚恋姻缘|除暴侠义|文人世情,婚恋姻缘 + 除暴侠义 + 文人世情,3,3|6|12,3,12,1,160,婚恋姻缘,婚恋姻缘:1,婚恋关系,婚恋关系:1,江湖戏:1,0.8333,0.3333,38.66,70202101,红拂传
全量,T030607,婚恋姻缘|除暴侠义|战争武略,婚恋姻缘 + 除暴侠义 + 战争武略,3,3|6|7,3,7,1,161,除暴侠义,除暴侠义:1,婚恋关系,婚恋关系:1,江湖戏:1,1.0,0.0,22.11,02003001,斩熊虎
全量,T030709,婚恋姻缘|战争武略|善恶转化,婚恋姻缘 + 战争武略 + 善恶转化,3,3|7|9,3,9,1,162,战争武略,战争武略:1,婚恋关系,婚恋关系:1,公案戏:1,0.6,0.6667,54.74,05019003,五彩舆
全量,T030812,婚恋姻缘|恩怨报偿|文人世情,婚恋姻缘 + 恩怨报偿 + 文人世情,3,3|8|12,3,12,1,163,婚恋姻缘,婚恋姻缘:1,婚恋关系,婚恋关系:1,家庭戏:1,1.0,0.0,20.63,01014008,雪杯圆
全量,T030912,婚恋姻缘|善恶转化|文人世情,婚恋姻缘 + 善恶转化 + 文人世情,3,3|9|12,3,12,1,164,文人世情,文人世情:1,婚恋关系,婚恋关系:1,家庭戏:1,0.8571,0.2,40.74,70203106,杜十娘
全量,T040508,家庭亲情|公案冤狱|恩怨报偿,家庭亲情 + 公案冤狱 + 恩怨报偿,3,4|5|8,4,8,1,165,公案冤狱,公案冤狱:1,审判与恩怨关系,审判与恩怨关系:1,公案戏:1,1.0,0.0,44.97,03098001,反徐州
全量,T040610,家庭亲情|除暴侠义|礼教品格,家庭亲情 + 除暴侠义 + 礼教品格,3,4|6|10,4,10,1,166,家庭亲情,家庭亲情:1,亲属关系,亲属关系:1,家庭戏:1,1.0,0.0,31.34,02012044,弓砚缘
全量,T040611,家庭亲情|除暴侠义|宗教祥瑞,家庭亲情 + 除暴侠义 + 宗教祥瑞,3,4|6|11,4,11,1,167,家庭亲情,家庭亲情:1,亲属关系,亲属关系:1,神怪戏:1,1.0,0.0,24.21,01014013,度白俭
全量,T040612,家庭亲情|除暴侠义|文人世情,家庭亲情 + 除暴侠义 + 文人世情,3,4|6|12,4,12,1,168,文人世情,文人世情:1,亲属关系,亲属关系:1,家庭戏:1,1.0,0.0,22.35,01011016,送银灯
全量,T050607,公案冤狱|除暴侠义|战争武略,公案冤狱 + 除暴侠义 + 战争武略,3,5|6|7,5,7,1,169,除暴侠义,除暴侠义:1,冲突关系,冲突关系:1,江湖戏:1,0.0,0.0,74.6,03109005,玉麟图
全量,T050911,公案冤狱|善恶转化|宗教祥瑞,公案冤狱 + 善恶转化 + 宗教祥瑞,3,5|9|11,5,11,1,170,善恶转化,善恶转化:1,审判与恩怨关系,审判与恩怨关系:1,神怪戏:1,1.0,0.0,19.77,70902157,焚香记·阳告
全量,T060709,除暴侠义|战争武略|善恶转化,除暴侠义 + 战争武略 + 善恶转化,3,6|7|9,6,9,1,171,战争武略,战争武略:1,冲突关系,冲突关系:1,江湖戏:1,1.0,0.0,22.05,03033006,枣阳山
全量,T060811,除暴侠义|恩怨报偿|宗教祥瑞,除暴侠义 + 恩怨报偿 + 宗教祥瑞,3,6|8|11,6,11,1,172,宗教祥瑞,宗教祥瑞:1,冲突关系,冲突关系:1,公案戏:1,0.9,0.1667,28.35,01023005,洗浮山
全量,T070912,战争武略|善恶转化|文人世情,战争武略 + 善恶转化 + 文人世情,3,7|9|12,7,12,1,173,战争武略,战争武略:1,冲突关系,冲突关系:1,历史戏:1,0.6,0.6667,35.92,03084003,战寿州
全量,T081011,恩怨报偿|礼教品格|宗教祥瑞,恩怨报偿 + 礼教品格 + 宗教祥瑞,3,8|10|11,8,11,1,174,宗教祥瑞,宗教祥瑞:1,冲突关系,冲突关系:1,神怪戏:1,1.0,0.0,20.78,01010013,双断桥
全量,T01020310,忠义家国|政治权力|婚恋姻缘|礼教品格,忠义家国 + 政治权力 + 婚恋姻缘 + 礼教品格,4,1|2|3|10,1,10,1,175,政治权力,政治权力:1,婚恋关系,婚恋关系:1,历史戏:1,1.0,0.0,22.16,05024003,骂董卓
全量,T01020304,忠义家国|政治权力|婚恋姻缘|家庭亲情,忠义家国 + 政治权力 + 婚恋姻缘 + 家庭亲情,4,1|2|3|4,1,4,1,176,忠义家国,忠义家国:1,权力关系,权力关系:1,家庭戏:1,1.0,0.0,24.52,02006046,五凤楼
全量,T01020405,忠义家国|政治权力|家庭亲情|公案冤狱,忠义家国 + 政治权力 + 家庭亲情 + 公案冤狱,4,1|2|4|5,1,5,1,177,忠义家国,忠义家国:1,亲属关系,亲属关系:1,神怪戏:1,1.0,0.0,25.65,70902102,东窗事犯·扫秦
全量,T01020512,忠义家国|政治权力|公案冤狱|文人世情,忠义家国 + 政治权力 + 公案冤狱 + 文人世情,4,1|2|5|12,1,12,1,178,忠义家国,忠义家国:1,审判与恩怨关系,审判与恩怨关系:1,公案戏:1,0.5238,0.4333,28.76,01006004,九更天
全量,T01020507,忠义家国|政治权力|公案冤狱|战争武略,忠义家国 + 政治权力 + 公案冤狱 + 战争武略,4,1|2|5|7,1,7,1,179,忠义家国,忠义家国:1,权力关系,权力关系:1,历史戏:1,0.3263,0.5146,56.32,01017001,风波亭
全量,T01020612,忠义家国|政治权力|除暴侠义|文人世情,忠义家国 + 政治权力 + 除暴侠义 + 文人世情,4,1|2|6|12,1,12,1,180,除暴侠义,除暴侠义:1,权力关系,权力关系:1,江湖戏:1,0.9333,0.1,32.98,04014003,艳阳楼
全量,T01020710,忠义家国|政治权力|战争武略|礼教品格,忠义家国 + 政治权力 + 战争武略 + 礼教品格,4,1|2|7|10,1,10,1,181,忠义家国,忠义家国:1,权力关系,权力关系:1,神怪戏:1,0.4167,0.4286,37.34,01012001,泥马渡康王
全量,T01020712,忠义家国|政治权力|战争武略|文人世情,忠义家国 + 政治权力 + 战争武略 + 文人世情,4,1|2|7|12,1,12,1,182,政治权力,政治权力:1,权力关系,权力关系:1,历史戏:1,1.0,0.0,36.31,70004105,闹朝击犬
全量,T01020709,忠义家国|政治权力|战争武略|善恶转化,忠义家国 + 政治权力 + 战争武略 + 善恶转化,4,1|2|7|9,1,9,1,183,善恶转化,善恶转化:1,冲突关系,冲突关系:1,历史戏:1,0.6667,0.6667,26.03,03093008,哭祖庙
全量,T01030407,忠义家国|婚恋姻缘|家庭亲情|战争武略,忠义家国 + 婚恋姻缘 + 家庭亲情 + 战争武略,4,1|3|4|7,1,7,1,184,忠义家国,忠义家国:1,亲属关系,亲属关系:1,家庭戏:1,1.0,0.0,31.3,01001016,牧羊卷
全量,T01030710,忠义家国|婚恋姻缘|战争武略|礼教品格,忠义家国 + 婚恋姻缘 + 战争武略 + 礼教品格,4,1|3|7|10,1,10,1,185,忠义家国,忠义家国:1,婚恋关系,婚恋关系:1,历史戏:1,0.5556,0.5556,28.86,01020004,别母乱箭
全量,T01041112,忠义家国|家庭亲情|宗教祥瑞|文人世情,忠义家国 + 家庭亲情 + 宗教祥瑞 + 文人世情,4,1|4|11|12,1,12,1,186,家庭亲情,家庭亲情:1,亲属关系,亲属关系:1,神怪戏:1,0.4667,0.8,30.27,70005114,骂阎罗
全量,T01040708,忠义家国|家庭亲情|战争武略|恩怨报偿,忠义家国 + 家庭亲情 + 战争武略 + 恩怨报偿,4,1|4|7|8,1,8,1,187,战争武略,战争武略:1,同盟关系,同盟关系:1,历史戏:1,0.4066,0.6923,33.82,02006004,锁五龙
全量,T01060708,忠义家国|除暴侠义|战争武略|恩怨报偿,忠义家国 + 除暴侠义 + 战争武略 + 恩怨报偿,4,1|6|7|8,1,8,1,188,除暴侠义,除暴侠义:1,同盟关系,同盟关系:1,历史戏:1,1.0,0.0,20.31,01014011,锁五龙
全量,T01080910,忠义家国|恩怨报偿|善恶转化|礼教品格,忠义家国 + 恩怨报偿 + 善恶转化 + 礼教品格,4,1|8|9|10,1,10,1,189,恩怨报偿,恩怨报偿:1,审判与恩怨关系,审判与恩怨关系:1,历史戏:1,1.0,0.0,20.54,01015001,马嵬坡
全量,T02030710,政治权力|婚恋姻缘|战争武略|礼教品格,政治权力 + 婚恋姻缘 + 战争武略 + 礼教品格,4,2|3|7|10,2,10,1,190,婚恋姻缘,婚恋姻缘:1,婚恋关系,婚恋关系:1,家庭戏:1,1.0,0.0,25.5,03021011,算军粮
全量,T02030708,政治权力|婚恋姻缘|战争武略|恩怨报偿,政治权力 + 婚恋姻缘 + 战争武略 + 恩怨报偿,4,2|3|7|8,2,8,1,191,恩怨报偿,恩怨报偿:1,审判与恩怨关系,审判与恩怨关系:1,历史戏:1,1.0,0.0,23.41,01009003,凤仪亭
全量,T02041112,政治权力|家庭亲情|宗教祥瑞|文人世情,政治权力 + 家庭亲情 + 宗教祥瑞 + 文人世情,4,2|4|11|12,2,12,1,192,家庭亲情,家庭亲情:1,亲属关系,亲属关系:1,历史戏:1,1.0,0.0,28.93,01008009,遇龙封官
全量,T02040506,政治权力|家庭亲情|公案冤狱|除暴侠义,政治权力 + 家庭亲情 + 公案冤狱 + 除暴侠义,4,2|4|5|6,2,6,1,193,除暴侠义,除暴侠义:1,审判与恩怨关系,审判与恩怨关系:1,历史戏:1,0.6029,0.45,51.46,70801120,谢瑶环
全量,T02040509,政治权力|家庭亲情|公案冤狱|善恶转化,政治权力 + 家庭亲情 + 公案冤狱 + 善恶转化,4,2|4|5|9,2,9,1,194,公案冤狱,公案冤狱:1,审判与恩怨关系,审判与恩怨关系:1,历史戏:1,0.6667,0.5,31.07,01001006,捉放曹
全量,T02040711,政治权力|家庭亲情|战争武略|宗教祥瑞,政治权力 + 家庭亲情 + 战争武略 + 宗教祥瑞,4,2|4|7|11,2,11,1,195,宗教祥瑞,宗教祥瑞:1,权力关系,权力关系:1,历史戏:1,1.0,0.0,42.2,03051001,马陵道
全量,T02040809,政治权力|家庭亲情|恩怨报偿|善恶转化,政治权力 + 家庭亲情 + 恩怨报偿 + 善恶转化,4,2|4|8|9,2,9,1,196,善恶转化,善恶转化:1,权力关系,权力关系:1,公案戏:1,0.9333,0.1,48.07,03004003,官庄堡
全量,T02040912,政治权力|家庭亲情|善恶转化|文人世情,政治权力 + 家庭亲情 + 善恶转化 + 文人世情,4,2|4|9|12,2,12,1,197,政治权力,政治权力:1,权力关系,权力关系:1,家庭戏:1,1.0,0.0,36.65,04026004,连升店
全量,T02050712,政治权力|公案冤狱|战争武略|文人世情,政治权力 + 公案冤狱 + 战争武略 + 文人世情,4,2|5|7|12,2,12,1,198,政治权力,政治权力:1,权力关系,权力关系:1,家庭戏:1,1.0,0.0,22.39,02006044,五凤楼
全量,T02050709,政治权力|公案冤狱|战争武略|善恶转化,政治权力 + 公案冤狱 + 战争武略 + 善恶转化,4,2|5|7|9,2,9,1,199,政治权力,政治权力:1,权力关系,权力关系:1,神怪戏:1,1.0,0.0,47.37,03051003,马陵道
全量,T02060712,政治权力|除暴侠义|战争武略|文人世情,政治权力 + 除暴侠义 + 战争武略 + 文人世情,4,2|6|7|12,2,12,1,200,战争武略,战争武略:1,冲突关系,冲突关系:1,神怪戏:1,0.8,0.3333,33.9,02005034,千金闸
