relation_id,play_id,source_character_id,target_character_id,source,target,source_trade,target_trade,source_raw_trade,target_raw_trade,source_standard_trade,target_standard_trade,source_level,target_level,source_level_label,target_level_label,relation_type,relation_label,relation_desc,weight,relation_rank,scene_ids,first_scene_no,last_scene_no,evidence
rel_46ae611d09,01012004,char_58d44bc5d2,char_746f0417fa,杨俊,秦尤,武生,武生,,,武生,武生,minor,major,次要人物,主要人物,conflict,冲突对峙,杨俊与秦尤在4场中形成冲突对峙,4.58,10,"[""01012004_scene_02"", ""01012004_scene_03"", ""01012004_scene_04"", ""01012004_scene_05""]",2,5,（胜英引李刚、黄三泰、李玉圭、李志龙、郝照雄、杨俊、普大勇、陶让、蔡庆、张大川、武万
rel_cda5baa122,01012004,char_5df3a7f526,char_f854a868ec,胜英,韩秀,老生,老生,生,生,老生,老生,core,core,核心人物,核心人物,conflict,冲突对峙,胜英与韩秀在5场中形成冲突对峙,4.52,11,"[""01012004_scene_06"", ""01012004_scene_12"", ""01012004_scene_13"", ""01012004_scene_14"", ""01012004_scene_15""]",6,15,和尚心忙来路远，特地到此间
rel_141df980ed,01012004,char_b2ff5b6b94,char_f854a868ec,和尚,韩秀,丑,老生,,生,丑,老生,minor,core,次要人物,核心人物,info,传信谋划,和尚与韩秀在1场中形成传信谋划,2.22,13,"[""01012004_scene_06""]",6,6,和尚心忙来路远，特地到此间
rel_2e68e13dee,01012004,char_e5f6b8a40a,char_6c4056dd77,杨香武,胡闹,武生,丑,,,武生,丑,major,minor,主要人物,次要人物,conflict,冲突对峙,杨香武与胡闹在1场中形成冲突对峙,1.8,15,"[""01012004_scene_07""]",7,7,胡闹终朝棹桨江上游，荀攸至死不离这船头
rel_d227f181a1,01012004,char_6c4056dd77,char_528fa58a93,胡闹,荀攸,丑,丑,,,丑,丑,minor,minor,次要人物,次要人物,alliance,同场协作,胡闹与荀攸在1场中形成同场协作,1.8,16,"[""01012004_scene_07""]",7,7,胡闹终朝棹桨江上游，荀攸至死不离这船头
rel_dc1a33928d,01012004,char_f854a868ec,char_019e07d9cb,韩秀,高大鹏,老生,净,生,,老生,净,core,minor,核心人物,次要人物,command,差遣统属,韩秀与高大鹏在3场中形成差遣统属,2.99,12,"[""01012004_scene_08"", ""01012004_scene_12"", ""01012004_scene_15""]",8,15,李豹李豹
rel_f7291c2d97,01012004,char_18bd033d0f,char_f854a868ec,小桃,韩秀,花旦,老生,,生,花旦,老生,minor,core,次要人物,核心人物,support,扶助照应,小桃与韩秀在1场中形成扶助照应,1.74,17,"[""01012004_scene_09""]",9,9,韩韬英懒习针旨刺绣，勤练武艺精通
rel_88a3036192,01012004,char_f854a868ec,char_8ed02c4fe8,韩秀,韩韬英,老生,旦,生,,老生,旦,core,minor,核心人物,次要人物,kinship,亲缘牵连,韩秀与韩韬英在1场中形成亲缘牵连,1.74,18,"[""01012004_scene_09""]",9,9,韩韬英懒习针旨刺绣，勤练武艺精通
rel_1c6f54698c,01012004,char_5765b8dea6,char_5df3a7f526,李豹,胜英,武生,老生,,生,武生,老生,minor,core,次要人物,核心人物,conflict,冲突对峙,李豹与胜英在1场中形成冲突对峙,1.85,14,"[""01012004_scene_12""]",12,12,韩秀盗取钢鞭枉费心，咳
rel_15cf70140f,01040005,char_471ed1dfa7,char_561db21d7e,张夫人,张济,老旦,老生,,,老旦,老生,minor,core,次要人物,核心人物,kinship,亲缘牵连,张夫人与张济在5场中形成亲缘牵连,6.4,1,"[""01040005_scene_01"", ""01040005_scene_04"", ""01040005_scene_11"", ""01040005_scene_13"", ""01040005_scene_14""]",1,14,张夫人夫受皇家禄，妻沾雨露恩
rel_46fbb0b6fe,01040005,char_a9d869411c,char_561db21d7e,张小莲,张济,花旦,老生,,,花旦,老生,major,core,主要人物,核心人物,kinship,亲缘牵连,张小莲与张济在4场中形成亲缘牵连,5.46,2,"[""01040005_scene_01"", ""01040005_scene_04"", ""01040005_scene_07"", ""01040005_scene_14""]",1,14,张夫人夫受皇家禄，妻沾雨露恩
rel_32dadb580d,01040005,char_9ece7821a2,char_f3f578e2ad,甘习文,甘氏,小生,老旦,,,小生,老旦,core,minor,核心人物,次要人物,kinship,亲缘牵连,甘习文与甘氏在1场中形成亲缘牵连,2.14,9,"[""01040005_scene_02""]",2,2,甘习文十载寒窗苦，但愿早成名
rel_60bd41bd13,01040005,char_a9d869411c,char_9ece7821a2,张小莲,甘习文,花旦,小生,,,花旦,小生,major,core,主要人物,核心人物,romance,情缘牵连,张小莲与甘习文在3场中形成情缘牵连,4.54,3,"[""01040005_scene_06"", ""01040005_scene_10"", ""01040005_scene_14""]",6,14,张小莲爹爹转回家，母女享荣华
rel_35a1ef5147,01040005,char_a9d869411c,char_d1ce281751,张小莲,蔡炳,花旦,丑,,,花旦,丑,major,minor,主要人物,次要人物,conflict,冲突对峙,张小莲与蔡炳在2场中形成冲突对峙,3.06,8,"[""01040005_scene_06"", ""01040005_scene_07""]",6,7,张小莲爹爹转回家，母女享荣华
rel_84159ae77e,01040005,char_9ece7821a2,char_942777213b,甘习文,观音,小生,旦,,,小生,旦,core,major,核心人物,主要人物,support,扶助照应,甘习文与观音在3场中形成扶助照应,4.1,4,"[""01040005_scene_10"", ""01040005_scene_12"", ""01040005_scene_13""]",10,13,观音我乃南海大士
rel_ae965fcfdb,01040005,char_804853c6b5,char_942777213b,店家,观音,丑,旦,,,丑,旦,minor,major,次要人物,主要人物,support,扶助照应,店家与观音在1场中形成扶助照应,2.08,10,"[""01040005_scene_10""]",10,10,观音我乃南海大士
rel_213a5fe5a5,01040005,char_561db21d7e,char_9ece7821a2,张济,甘习文,老生,小生,,,老生,小生,core,core,核心人物,核心人物,conflict,冲突对峙,张济与甘习文在2场中形成冲突对峙,3.7,5,"[""01040005_scene_13"", ""01040005_scene_14""]",13,14,张夫人为了一件事，常挂一片心
rel_06279896f0,01040005,char_561db21d7e,char_8b70b310ec,张济,海棠花,老生,花旦,,彩旦,老生,花旦,core,major,核心人物,主要人物,conflict,冲突对峙,张济与海棠花在2场中形成冲突对峙,3.7,6,"[""01040005_scene_13"", ""01040005_scene_14""]",13,14,张夫人为了一件事，常挂一片心
rel_6c354fcbb4,01040005,char_4753bacca3,char_8b70b310ec,张二莲,海棠花,旦,花旦,二旦,彩旦,旦,花旦,minor,major,次要人物,主要人物,conflict,冲突对峙,张二莲与海棠花在2场中形成冲突对峙,3.7,7,"[""01040005_scene_13"", ""01040005_scene_14""]",13,14,张夫人为了一件事，常挂一片心
rel_80ceab37ec,02008006,char_416840313a,char_d704060299,苏逢吉,郭彦威,净,老生,,,净,老生,major,major,主要人物,主要人物,conflict,冲突对峙,苏逢吉与郭彦威在9场中形成冲突对峙,6.4,1,"[""02008006_scene_01"", ""02008006_scene_02"", ""02008006_scene_03"", ""02008006_scene_09"", ""02008006_scene_12"", ""02008006_scene_13"", ""02008006_scene_16"", ""02008006_scene_20"", ""02008006_scene_22""]",1,22,苏逢吉撒放银乌去，捉拿金燕归
rel_66c5e8e6cd,02008006,char_42107f58d6,char_416840313a,刘承佑,苏逢吉,老生,净,,,老生,净,core,major,核心人物,主要人物,power,权力牵制,刘承佑与苏逢吉在8场中形成权力牵制,5.41,2,"[""02008006_scene_01"", ""02008006_scene_09"", ""02008006_scene_13"", ""02008006_scene_16"", ""02008006_scene_17"", ""02008006_scene_18"", ""02008006_scene_20"", ""02008006_scene_22""]",1,22,苏逢吉撒放银乌去，捉拿金燕归
rel_74c8e8d90d,02008006,char_2d81db9dad,char_d704060299,杨邠,郭彦威,老生,老生,,,老生,老生,minor,major,次要人物,主要人物,conflict,冲突对峙,杨邠与郭彦威在5场中形成冲突对峙,3.75,6,"[""02008006_scene_01"", ""02008006_scene_09"", ""02008006_scene_12"", ""02008006_scene_16"", ""02008006_scene_20""]",1,20,苏逢吉撒放银乌去，捉拿金燕归
rel_9baccbe61f,02008006,char_42107f58d6,char_2bb46abcd4,刘承佑,王章,老生,末,,,老生,末,core,minor,核心人物,次要人物,command,差遣统属,刘承佑与王章在2场中形成差遣统属,2.08,11,"[""02008006_scene_01"", ""02008006_scene_09""]",1,9,苏逢吉撒放银乌去，捉拿金燕归
rel_13495ee2f9,02008006,char_42107f58d6,char_382070ef90,刘承佑,孟业,老生,末,,,老生,末,core,minor,核心人物,次要人物,command,差遣统属,刘承佑与孟业在1场中形成差遣统属,1.67,15,"[""02008006_scene_01""]",1,1,苏逢吉撒放银乌去，捉拿金燕归
rel_2bfa16b4b3,02008006,char_53048a0372,char_d704060299,史彦超,郭彦威,武生,老生,,,武生,老生,minor,major,次要人物,主要人物,alliance,同场协作,史彦超与郭彦威在3场中形成同场协作,3.19,9,"[""02008006_scene_02"", ""02008006_scene_03"", ""02008006_scene_11""]",2,11,史彦超昏王无道，杀我母，冤仇未报
rel_872e77b533,02008006,char_909ee59582,char_416840313a,王朴,苏逢吉,末,净,,,末,净,minor,major,次要人物,主要人物,conflict,冲突对峙,王朴与苏逢吉在2场中形成冲突对峙,2.74,10,"[""02008006_scene_02"", ""02008006_scene_03""]",2,3,史彦超昏王无道，杀我母，冤仇未报
rel_969fb2e0e9,02008006,char_53048a0372,char_ab23c290e6,史彦超,韩通,武生,净,,,武生,净,minor,minor,次要人物,次要人物,alliance,同场协作,史彦超与韩通在1场中形成同场协作,1.97,13,"[""02008006_scene_03""]",3,3,柴荣中军过来
rel_7e617026f6,02008006,char_d73c72a05a,char_909ee59582,柴荣,王朴,小生,末,,,小生,末,minor,minor,次要人物,次要人物,command,差遣统属,柴荣与王朴在1场中形成差遣统属,1.97,14,"[""02008006_scene_03""]",3,3,柴荣中军过来
rel_9eca7eaa8f,02008006,char_42107f58d6,char_e8f1182c6b,刘承佑,苏妃,老生,旦,,,老生,旦,core,major,核心人物,主要人物,kinship,亲缘牵连,刘承佑与苏妃在4场中形成亲缘牵连,3.6,7,"[""02008006_scene_04"", ""02008006_scene_08"", ""02008006_scene_13"", ""02008006_scene_20""]",4,20,苏妃昨日里内侍报一信，他言道我母亲重病临身
rel_d3d5e30f7c,02008006,char_8f58850346,char_e8f1182c6b,苏夫人,苏妃,老旦,旦,,,老旦,旦,minor,major,次要人物,主要人物,kinship,亲缘牵连,苏夫人与苏妃在1场中形成亲缘牵连,1.59,18,"[""02008006_scene_05""]",5,5,苏夫人思姣儿得下了冤孽病症，不知何日得安宁
rel_7757b78a5d,02008006,char_42107f58d6,char_945af2d6ee,刘承佑,刘瑞莲,老生,旦,,,老生,旦,core,core,核心人物,核心人物,conflict,冲突对峙,刘承佑与刘瑞莲在4场中形成冲突对峙,3.85,5,"[""02008006_scene_08"", ""02008006_scene_13"", ""02008006_scene_20"", ""02008006_scene_22""]",8,22,刘承佑等候梓童宫庭进，将身且坐后宫等
rel_f4a94ce850,02008006,char_42107f58d6,char_6b9907d850,刘承佑,慕容彦超,老生,净,,,老生,净,core,minor,核心人物,次要人物,conflict,冲突对峙,刘承佑与慕容彦超在1场中形成冲突对峙,1.61,17,"[""02008006_scene_09""]",9,9,刘承佑内侍摆驾
rel_27cac545a2,02008006,char_42107f58d6,char_06cfef4e20,刘承佑,高庆,老生,丑,,,老生,丑,core,major,核心人物,主要人物,command,差遣统属,刘承佑与高庆在8场中形成差遣统属,5.37,3,"[""02008006_scene_13"", ""02008006_scene_15"", ""02008006_scene_16"", ""02008006_scene_17"", ""02008006_scene_18"", ""02008006_scene_19"", ""02008006_scene_20"", ""02008006_scene_22""]",13,22,高庆老太师，随咱家来
rel_6c25f31108,02008006,char_945af2d6ee,char_06cfef4e20,刘瑞莲,高庆,旦,丑,,,旦,丑,core,major,核心人物,主要人物,conflict,冲突对峙,刘瑞莲与高庆在4场中形成冲突对峙,3.49,8,"[""02008006_scene_13"", ""02008006_scene_14"", ""02008006_scene_20"", ""02008006_scene_22""]",13,22,高庆老太师，随咱家来
rel_c00f0edc1a,02008006,char_10190e497e,char_e8f1182c6b,张端,苏妃,末,旦,,,末,旦,minor,major,次要人物,主要人物,support,扶助照应,张端与苏妃在1场中形成扶助照应,1.63,16,"[""02008006_scene_13""]",13,13,高庆老太师，随咱家来
rel_4e327e0fd9,02008006,char_eb9e809c02,char_06cfef4e20,王福,高庆,丑,丑,,,丑,丑,major,major,主要人物,主要人物,alliance,同场协作,王福与高庆在5场中形成同场协作,3.9,4,"[""02008006_scene_14"", ""02008006_scene_18"", ""02008006_scene_19"", ""02008006_scene_20"", ""02008006_scene_22""]",14,22,王福高公公
rel_302997c4d0,02008006,char_eb9e809c02,char_cf6cec5844,王福,赵普,丑,老生,,,丑,老生,major,minor,主要人物,次要人物,info,传信谋划,王福与赵普在2场中形成传信谋划,2.06,12,"[""02008006_scene_14"", ""02008006_scene_19""]",14,19,王福高公公
rel_abc516c8ab,04008002,char_343ef6252d,char_c623e8faa8,白脸狼,黄傻狗,丑,丑,,,丑,丑,major,major,主要人物,主要人物,alliance,同场协作,白脸狼与黄傻狗在11场中形成同场协作,6.4,1,"[""04008002_scene_02"", ""04008002_scene_03"", ""04008002_scene_05"", ""04008002_scene_06"", ""04008002_scene_07"", ""04008002_scene_08"", ""04008002_scene_09"", ""04008002_scene_10"", ""04008002_scene_11"", ""04008002_scene_14"", ""04008002_scene_16""]",2,5,白脸狼、黄傻狗啊哈
rel_e80d5f0031,04008002,char_6ac8c42935,char_36008bff4d,张妈妈,张金凤,老旦,旦,,,老旦,旦,minor,major,次要人物,主要人物,kinship,亲缘牵连,张妈妈与张金凤在4场中形成亲缘牵连,3.59,5,"[""04008002_scene_13"", ""04008002_scene_20"", ""04008002_scene_21"", ""04008002_scene_22""]",2,11,张乐世一家人全凭着耕种为本，张妈妈年荒旱难度日赴京投亲
rel_c0ef407c33,04008002,char_36008bff4d,char_16669c5613,张金凤,赛西施,旦,丑,,,旦,丑,major,minor,主要人物,次要人物,support,扶助照应,张金凤与赛西施在2场中形成扶助照应,2.58,8,"[""04008002_scene_13"", ""04008002_scene_20""]",2,9,张乐世一家人全凭着耕种为本，张妈妈年荒旱难度日赴京投亲
rel_65b05c2c87,04008002,char_9e364f3c74,char_343ef6252d,安骥,白脸狼,小生,丑,,,小生,丑,core,major,核心人物,主要人物,conflict,冲突对峙,安骥与白脸狼在8场中形成冲突对峙,5.11,2,"[""04008002_scene_03"", ""04008002_scene_05"", ""04008002_scene_07"", ""04008002_scene_08"", ""04008002_scene_09"", ""04008002_scene_11"", ""04008002_scene_14"", ""04008002_scene_16""]",3,5,安骥堪叹危急无所望，人情如纸世态凉
rel_affec1c9e1,04008002,char_9e364f3c74,char_c623e8faa8,安骥,黄傻狗,小生,丑,,,小生,丑,core,major,核心人物,主要人物,conflict,冲突对峙,安骥与黄傻狗在8场中形成冲突对峙,5.11,3,"[""04008002_scene_03"", ""04008002_scene_05"", ""04008002_scene_07"", ""04008002_scene_08"", ""04008002_scene_09"", ""04008002_scene_11"", ""04008002_scene_14"", ""04008002_scene_16""]",3,5,安骥堪叹危急无所望，人情如纸世态凉
rel_702177fe84,04008002,char_9ae7a5d92b,char_c623e8faa8,华忠,黄傻狗,老生,丑,,,老生,丑,minor,major,次要人物,主要人物,command,差遣统属,华忠与黄傻狗在3场中形成差遣统属,2.47,9,"[""04008002_scene_03"", ""04008002_scene_05"", ""04008002_scene_07""]",3,7,安骥堪叹危急无所望，人情如纸世态凉
rel_b4dc331e39,04008002,char_9e364f3c74,char_ef5c19ce75,安骥,黑风僧,小生,净,,,小生,净,core,minor,核心人物,次要人物,conflict,冲突对峙,安骥与黑风僧在2场中形成冲突对峙,2.33,10,"[""04008002_scene_16"", ""04008002_scene_18""]",5,7,黑风僧大家齐到山门等，黄傻狗喝，你们怎么跑得这么快呀
rel_004759311f,04008002,char_343ef6252d,char_47c9bb3b22,白脸狼,虎面僧,丑,净,,,丑,净,major,minor,主要人物,次要人物,conflict,冲突对峙,白脸狼与虎面僧在1场中形成冲突对峙,1.8,11,"[""04008002_scene_16""]",5,5,黑风僧大家齐到山门等，黄傻狗喝，你们怎么跑得这么快呀
rel_e2f264a6a8,04008002,char_28c2fffc20,char_9e364f3c74,何玉凤,安骥,旦,小生,,,旦,小生,core,core,核心人物,核心人物,support,扶助照应,何玉凤与安骥在5场中形成扶助照应,3.92,4,"[""04008002_scene_08"", ""04008002_scene_11"", ""04008002_scene_18"", ""04008002_scene_21"", ""04008002_scene_22""]",8,11,何玉凤且住
rel_b1f86210d3,04008002,char_28c2fffc20,char_6aaa919478,何玉凤,张乐世,旦,老生,,,旦,老生,core,minor,核心人物,次要人物,support,扶助照应,何玉凤与张乐世在4场中形成扶助照应,3.57,6,"[""04008002_scene_19"", ""04008002_scene_20"", ""04008002_scene_21"", ""04008002_scene_22""]",8,11,虎面僧骡夫把命丧，打坐在禅堂
rel_960a774ea9,04008002,char_28c2fffc20,char_36008bff4d,何玉凤,张金凤,旦,旦,,,旦,旦,core,major,核心人物,主要人物,support,扶助照应,何玉凤与张金凤在3场中形成扶助照应,3.04,7,"[""04008002_scene_20"", ""04008002_scene_21"", ""04008002_scene_22""]",9,11,赛西施生得花容月貌，长就玉肤冰肌
