scene_id,play_id,scene_no,scene_label,stage_type,conflict_type,summary,character_ids,relation_ids,performance_density,role_activity,conflict_strength,relation_change_strength,emotion_strength,plot_strength
01012004_scene_01,01012004,1,第一场,开端,军事冲突,秦尤仇深似海，咎士雄、崔通何日里，才称心怀,"[""char_228580aa21"", ""char_746f0417fa"", ""char_e67d49fc6b"", ""char_5df3a7f526""]","[""rel_9e153a44d8"", ""rel_55ab30f680"", ""rel_712564c45a"", ""rel_e309ba5661""]",0.2222,0.9125,0.5556,0.4167,0.1429,0.4881
01012004_scene_02,01012004,2,第二场,发展,军事冲突,（胜英引李刚、黄三泰、李玉圭、李志龙、郝照雄、杨俊、普大勇、陶让、蔡庆、张大川、武万,"[""char_5df3a7f526"", ""char_e5f6b8a40a"", ""char_ce90917009"", ""char_c6f88e3626"", ""char_746f0417fa"", ""char_630e467223"", ""char_22b51c72dc"", ""char_58d44bc5d2""]","[""rel_9e153a44d8"", ""rel_ae4d60d1e5"", ""rel_5b8966d6a8"", ""rel_cea766497f"", ""rel_3c94d2d979"", ""rel_c9f63de5ba"", ""rel_46ae611d09""]",0.4444,1,1,0.7944,0.5714,0.7413
01012004_scene_03,01012004,3,第三场,发展,情节推进,咎士雄、崔通夏日清凉，怎有心情游戏赏,"[""char_e67d49fc6b"", ""char_22b51c72dc"", ""char_630e467223"", ""char_228580aa21"", ""char_746f0417fa"", ""char_58d44bc5d2"", ""char_c6f88e3626"", ""char_ce90917009"", ""char_5df3a7f526""]","[""rel_9e153a44d8"", ""rel_55ab30f680"", ""rel_712564c45a"", ""rel_e309ba5661"", ""rel_5b8966d6a8"", ""rel_3c94d2d979"", ""rel_c9f63de5ba"", ""rel_46ae611d09""]",0.5,1,0.5,0.675,0.1429,0.5714
01012004_scene_04,01012004,4,第四场,发展,军事冲突,黄三泰唗,"[""char_630e467223"", ""char_746f0417fa"", ""char_22b51c72dc"", ""char_c6f88e3626"", ""char_58d44bc5d2"", ""char_5df3a7f526""]","[""rel_9e153a44d8"", ""rel_5b8966d6a8"", ""rel_3c94d2d979"", ""rel_c9f63de5ba"", ""rel_46ae611d09""]",0.3333,0.8875,0.2778,0.4306,0.0714,0.4468
01012004_scene_05,01012004,5,第五场,发展,军事冲突,http://scripts.xikao.com/play/010120042018,"[""char_5df3a7f526"", ""char_22b51c72dc"", ""char_630e467223"", ""char_228580aa21"", ""char_e67d49fc6b"", ""char_c6f88e3626"", ""char_58d44bc5d2"", ""char_746f0417fa"", ""char_e5f6b8a40a"", ""char_ce90917009""]","[""rel_9e153a44d8"", ""rel_55ab30f680"", ""rel_712564c45a"", ""rel_e309ba5661"", ""rel_ae4d60d1e5"", ""rel_5b8966d6a8"", ""rel_cea766497f"", ""rel_3c94d2d979"", ""rel_c9f63de5ba"", ""rel_46ae611d09""]",0.5556,1,0.8333,0.8472,0.3571,0.7063
01012004_scene_06,01012004,6,第六场,高潮,军事冲突,和尚心忙来路远，特地到此间,"[""char_5df3a7f526"", ""char_b2ff5b6b94"", ""char_f854a868ec"", ""char_e5f6b8a40a"", ""char_c6f88e3626"", ""char_228580aa21"", ""char_e67d49fc6b"", ""char_746f0417fa"", ""char_ce90917009""]","[""rel_9e153a44d8"", ""rel_55ab30f680"", ""rel_712564c45a"", ""rel_e309ba5661"", ""rel_ae4d60d1e5"", ""rel_cea766497f"", ""rel_cda5baa122"", ""rel_141df980ed""]",0.5,1,1,0.85,0.4286,0.7393
01012004_scene_07,01012004,7,第七场,转折,军事冲突,胡闹终朝棹桨江上游，荀攸至死不离这船头,"[""char_6c4056dd77"", ""char_528fa58a93"", ""char_e5f6b8a40a""]","[""rel_2e68e13dee"", ""rel_d227f181a1""]",0.1667,0.6375,0.1667,0.225,0,0.35
01012004_scene_08,01012004,8,第八场,转折,军事冲突,李豹李豹,"[""char_f854a868ec"", ""char_5765b8dea6"", ""char_019e07d9cb"", ""char_ce90917009""]","[""rel_dc1a33928d""]",0.2222,0.225,0.0556,0.2417,0.0714,0.3524
01012004_scene_09,01012004,9,第九场,转折,军事冲突,韩韬英懒习针旨刺绣，勤练武艺精通,"[""char_18bd033d0f"", ""char_8ed02c4fe8"", ""char_f854a868ec""]","[""rel_f7291c2d97"", ""rel_88a3036192""]",0.1667,0.6625,0.0556,0.1861,0.2143,0.3544
01012004_scene_10,01012004,10,第十场,转折,军事冲突,杨香武少小英雄志量高，披星戴月不辞劳,"[""char_e5f6b8a40a""]",[],0.0556,0.0625,0.1667,0.1139,0.1429,0.3325
01012004_scene_11,01012004,11,第十一场,转折,军事冲突,头目奉了寨主命，备宴不消停,"[""char_e5f6b8a40a""]",[],0.0556,0.05,0.0556,0.075,0,0.2833
01012004_scene_12,01012004,12,第十二场,转折,军事冲突,韩秀盗取钢鞭枉费心，咳,"[""char_f854a868ec"", ""char_e5f6b8a40a"", ""char_5df3a7f526"", ""char_ce90917009"", ""char_019e07d9cb"", ""char_5765b8dea6""]","[""rel_ae4d60d1e5"", ""rel_cea766497f"", ""rel_cda5baa122"", ""rel_dc1a33928d"", ""rel_1c6f54698c""]",0.3333,0.4625,0.2778,0.4306,0.1429,0.4575
01012004_scene_13,01012004,13,第十三场,转折,军事冲突,胜英只为在庙访贼盗，竟敢至此称英豪,"[""char_5df3a7f526"", ""char_e5f6b8a40a"", ""char_f854a868ec""]","[""rel_ae4d60d1e5"", ""rel_cda5baa122""]",0.1667,0.2375,0.0556,0.1861,0.0714,0.3329
01012004_scene_14,01012004,14,第十四场,转折,侠义冲突,韩秀胜英若敢前来到，可算世间一英豪,"[""char_f854a868ec"", ""char_5df3a7f526""]","[""rel_cda5baa122""]",0.1111,0.1,0,0.1111,0,0.2889
01012004_scene_15,01012004,15,第十五场,结局,军事冲突,韩秀来者敢是胜老英雄,"[""char_f854a868ec"", ""char_5df3a7f526"", ""char_019e07d9cb"", ""char_630e467223""]","[""rel_5b8966d6a8"", ""rel_cda5baa122"", ""rel_dc1a33928d""]",0.2222,0.825,0.1667,0.2806,0.2143,0.4016
01040005_scene_01,01040005,1,第一场,开端,军事冲突,张夫人夫受皇家禄，妻沾雨露恩,"[""char_471ed1dfa7"", ""char_561db21d7e"", ""char_a9d869411c"", ""char_4753bacca3""]","[""rel_15cf70140f"", ""rel_46fbb0b6fe""]",0.4,0.8625,0,0.4,0,0.39
01040005_scene_02,01040005,2,第二场,发展,伦理冲突,甘习文十载寒窗苦，但愿早成名,"[""char_9ece7821a2"", ""char_f3f578e2ad""]","[""rel_32dadb580d""]",0.2,0.3625,0.0556,0.2194,0,0.3339
01040005_scene_03,01040005,3,第三场,发展,权力冲突,蔡炳家中奉了母亲命，去到京城求功名,"[""char_9ece7821a2"", ""char_d1ce281751"", ""char_804853c6b5""]",[],0.3,0.95,0,0.3,0.0714,0.3657
01040005_scene_04,01040005,4,第四场,发展,军事冲突,中军水手，张大人游玩花船，小心伺候,"[""char_561db21d7e"", ""char_a9d869411c"", ""char_4753bacca3"", ""char_471ed1dfa7""]","[""rel_15cf70140f"", ""rel_46fbb0b6fe""]",0.4,0.1,0.0556,0.4194,0,0.4039
01040005_scene_05,01040005,5,第五场,发展,情节推进,甘习文出了自家门，长挂一片心,"[""char_9ece7821a2"", ""char_804853c6b5"", ""char_d1ce281751""]",[],0.3,0.4875,0,0.3,0,0.355
01040005_scene_06,01040005,6,第六场,发展,权力冲突,张小莲爹爹转回家，母女享荣华,"[""char_9ece7821a2"", ""char_d1ce281751"", ""char_a9d869411c"", ""char_804853c6b5""]","[""rel_60bd41bd13"", ""rel_35a1ef5147""]",0.4,0.9375,0.0556,0.4194,0.2143,0.436
01040005_scene_07,01040005,7,第七场,发展,情节推进,二旗牌呔，做什么的,"[""char_d1ce281751"", ""char_561db21d7e"", ""char_a9d869411c"", ""char_4753bacca3""]","[""rel_46fbb0b6fe"", ""rel_35a1ef5147""]",0.4,0.15,0.0556,0.4194,0,0.4039
01040005_scene_08,01040005,8,第八场,发展,伦理冲突,甘习文哎呀且住,"[""char_9ece7821a2""]",[],0.1,0.1,0,0.1,0,0.285
01040005_scene_09,01040005,9,第九场,发展,侠义冲突,蔡炳哎呀且住，是我被张大人家丁，将我打下船去，为何来到此地,"[""char_d1ce281751""]",[],0.1,0.05,0.0556,0.1194,0,0.2989
01040005_scene_10,01040005,10,第十场,发展,权力冲突,观音我乃南海大士,"[""char_942777213b"", ""char_9ece7821a2"", ""char_a9d869411c"", ""char_804853c6b5""]","[""rel_60bd41bd13"", ""rel_84159ae77e"", ""rel_ae965fcfdb""]",0.4,0.6375,0,0.4,0,0.39
01040005_scene_11,01040005,11,第十一场,发展,伦理冲突,http://scripts.xikao.com/play/010400052018,"[""char_561db21d7e"", ""char_471ed1dfa7""]","[""rel_15cf70140f""]",0.2,0.175,0,0.2,0,0.32
