scene_id,play_id,character_id,character_name
02008006_scene_05,02008006,char_416840313a,苏逢吉
02008006_scene_05,02008006,char_8f58850346,苏夫人
02008006_scene_06,02008006,char_945af2d6ee,刘瑞莲
02008006_scene_06,02008006,char_416840313a,苏逢吉
02008006_scene_07,02008006,char_e8f1182c6b,苏妃
02008006_scene_07,02008006,char_945af2d6ee,刘瑞莲
02008006_scene_08,02008006,char_42107f58d6,刘承佑
02008006_scene_08,02008006,char_945af2d6ee,刘瑞莲
02008006_scene_08,02008006,char_e8f1182c6b,苏妃
02008006_scene_08,02008006,char_d704060299,郭彦威
02008006_scene_09,02008006,char_42107f58d6,刘承佑
02008006_scene_09,02008006,char_6b9907d850,慕容彦超
02008006_scene_09,02008006,char_2d81db9dad,杨邠
02008006_scene_09,02008006,char_416840313a,苏逢吉
02008006_scene_09,02008006,char_2bb46abcd4,王章
02008006_scene_09,02008006,char_d704060299,郭彦威
02008006_scene_10,02008006,char_6b9907d850,慕容彦超
02008006_scene_11,02008006,char_53048a0372,史彦超
02008006_scene_11,02008006,char_6b9907d850,慕容彦超
02008006_scene_11,02008006,char_d704060299,郭彦威
02008006_scene_12,02008006,char_416840313a,苏逢吉
02008006_scene_12,02008006,char_2d81db9dad,杨邠
02008006_scene_12,02008006,char_d704060299,郭彦威
02008006_scene_12,02008006,char_6b9907d850,慕容彦超
02008006_scene_13,02008006,char_42107f58d6,刘承佑
02008006_scene_13,02008006,char_945af2d6ee,刘瑞莲
02008006_scene_13,02008006,char_416840313a,苏逢吉
02008006_scene_13,02008006,char_e8f1182c6b,苏妃
02008006_scene_13,02008006,char_06cfef4e20,高庆
02008006_scene_13,02008006,char_10190e497e,张端
02008006_scene_13,02008006,char_d704060299,郭彦威
02008006_scene_14,02008006,char_eb9e809c02,王福
02008006_scene_14,02008006,char_945af2d6ee,刘瑞莲
02008006_scene_14,02008006,char_10190e497e,张端
02008006_scene_14,02008006,char_cf6cec5844,赵普
02008006_scene_14,02008006,char_06cfef4e20,高庆
02008006_scene_14,02008006,char_416840313a,苏逢吉
02008006_scene_15,02008006,char_42107f58d6,刘承佑
02008006_scene_15,02008006,char_06cfef4e20,高庆
02008006_scene_16,02008006,char_416840313a,苏逢吉
02008006_scene_16,02008006,char_42107f58d6,刘承佑
02008006_scene_16,02008006,char_2d81db9dad,杨邠
02008006_scene_16,02008006,char_06cfef4e20,高庆
02008006_scene_16,02008006,char_d704060299,郭彦威
02008006_scene_17,02008006,char_06cfef4e20,高庆
02008006_scene_17,02008006,char_42107f58d6,刘承佑
02008006_scene_17,02008006,char_416840313a,苏逢吉
02008006_scene_17,02008006,char_2d81db9dad,杨邠
02008006_scene_18,02008006,char_eb9e809c02,王福
02008006_scene_18,02008006,char_42107f58d6,刘承佑
02008006_scene_18,02008006,char_416840313a,苏逢吉
02008006_scene_18,02008006,char_06cfef4e20,高庆
02008006_scene_18,02008006,char_2d81db9dad,杨邠
02008006_scene_19,02008006,char_cf6cec5844,赵普
02008006_scene_19,02008006,char_42107f58d6,刘承佑
02008006_scene_19,02008006,char_06cfef4e20,高庆
02008006_scene_19,02008006,char_eb9e809c02,王福
02008006_scene_20,02008006,char_42107f58d6,刘承佑
02008006_scene_20,02008006,char_945af2d6ee,刘瑞莲
02008006_scene_20,02008006,char_06cfef4e20,高庆
02008006_scene_20,02008006,char_eb9e809c02,王福
02008006_scene_20,02008006,char_d704060299,郭彦威
02008006_scene_20,02008006,char_e8f1182c6b,苏妃
02008006_scene_20,02008006,char_416840313a,苏逢吉
02008006_scene_20,02008006,char_2d81db9dad,杨邠
02008006_scene_21,02008006,char_d704060299,郭彦威
02008006_scene_21,02008006,char_10190e497e,张端
02008006_scene_22,02008006,char_42107f58d6,刘承佑
02008006_scene_22,02008006,char_945af2d6ee,刘瑞莲
02008006_scene_22,02008006,char_06cfef4e20,高庆
02008006_scene_22,02008006,char_eb9e809c02,王福
02008006_scene_22,02008006,char_d704060299,郭彦威
02008006_scene_22,02008006,char_416840313a,苏逢吉
04008002_scene_01,04008002,char_9e364f3c74,安骥
04008002_scene_01,04008002,char_9ae7a5d92b,华忠
04008002_scene_02,04008002,char_343ef6252d,白脸狼
04008002_scene_02,04008002,char_c623e8faa8,黄傻狗
04008002_scene_03,04008002,char_9ae7a5d92b,华忠
04008002_scene_03,04008002,char_343ef6252d,白脸狼
04008002_scene_03,04008002,char_c623e8faa8,黄傻狗
04008002_scene_03,04008002,char_9e364f3c74,安骥
04008002_scene_04,04008002,char_28c2fffc20,何玉凤
04008002_scene_05,04008002,char_9e364f3c74,安骥
04008002_scene_05,04008002,char_343ef6252d,白脸狼
04008002_scene_05,04008002,char_9ae7a5d92b,华忠
04008002_scene_05,04008002,char_c623e8faa8,黄傻狗
04008002_scene_06,04008002,char_343ef6252d,白脸狼
04008002_scene_06,04008002,char_c623e8faa8,黄傻狗
04008002_scene_07,04008002,char_9ae7a5d92b,华忠
04008002_scene_07,04008002,char_9e364f3c74,安骥
04008002_scene_07,04008002,char_343ef6252d,白脸狼
04008002_scene_07,04008002,char_c623e8faa8,黄傻狗
04008002_scene_08,04008002,char_28c2fffc20,何玉凤
04008002_scene_08,04008002,char_9e364f3c74,安骥
04008002_scene_08,04008002,char_343ef6252d,白脸狼
04008002_scene_08,04008002,char_c623e8faa8,黄傻狗
04008002_scene_09,04008002,char_9e364f3c74,安骥
04008002_scene_09,04008002,char_343ef6252d,白脸狼
04008002_scene_09,04008002,char_c623e8faa8,黄傻狗
04008002_scene_10,04008002,char_343ef6252d,白脸狼
04008002_scene_10,04008002,char_c623e8faa8,黄傻狗
04008002_scene_10,04008002,char_28c2fffc20,何玉凤
04008002_scene_11,04008002,char_28c2fffc20,何玉凤
04008002_scene_11,04008002,char_9e364f3c74,安骥
04008002_scene_11,04008002,char_343ef6252d,白脸狼
04008002_scene_11,04008002,char_c623e8faa8,黄傻狗
04008002_scene_12,04008002,char_ef5c19ce75,黑风僧
04008002_scene_12,04008002,char_16669c5613,赛西施
04008002_scene_12,04008002,char_47c9bb3b22,虎面僧
04008002_scene_13,04008002,char_ef5c19ce75,黑风僧
04008002_scene_13,04008002,char_36008bff4d,张金凤
04008002_scene_13,04008002,char_6aaa919478,张乐世
04008002_scene_13,04008002,char_16669c5613,赛西施
04008002_scene_13,04008002,char_6ac8c42935,张妈妈
04008002_scene_14,04008002,char_9e364f3c74,安骥
04008002_scene_14,04008002,char_c623e8faa8,黄傻狗
04008002_scene_14,04008002,char_343ef6252d,白脸狼
04008002_scene_15,04008002,char_28c2fffc20,何玉凤
04008002_scene_16,04008002,char_343ef6252d,白脸狼
04008002_scene_16,04008002,char_c623e8faa8,黄傻狗
04008002_scene_16,04008002,char_ef5c19ce75,黑风僧
04008002_scene_16,04008002,char_47c9bb3b22,虎面僧
04008002_scene_16,04008002,char_9e364f3c74,安骥
04008002_scene_17,04008002,char_28c2fffc20,何玉凤
04008002_scene_18,04008002,char_9e364f3c74,安骥
04008002_scene_18,04008002,char_ef5c19ce75,黑风僧
04008002_scene_18,04008002,char_28c2fffc20,何玉凤
04008002_scene_19,04008002,char_47c9bb3b22,虎面僧
04008002_scene_19,04008002,char_28c2fffc20,何玉凤
04008002_scene_19,04008002,char_6aaa919478,张乐世
04008002_scene_20,04008002,char_28c2fffc20,何玉凤
04008002_scene_20,04008002,char_16669c5613,赛西施
04008002_scene_20,04008002,char_36008bff4d,张金凤
04008002_scene_20,04008002,char_6aaa919478,张乐世
04008002_scene_20,04008002,char_6ac8c42935,张妈妈
04008002_scene_21,04008002,char_28c2fffc20,何玉凤
04008002_scene_21,04008002,char_9e364f3c74,安骥
04008002_scene_21,04008002,char_6aaa919478,张乐世
04008002_scene_21,04008002,char_6ac8c42935,张妈妈
04008002_scene_21,04008002,char_36008bff4d,张金凤
04008002_scene_22,04008002,char_9e364f3c74,安骥
04008002_scene_22,04008002,char_28c2fffc20,何玉凤
04008002_scene_22,04008002,char_36008bff4d,张金凤
04008002_scene_22,04008002,char_6aaa919478,张乐世
04008002_scene_22,04008002,char_6ac8c42935,张妈妈
