scene_id,play_id,relation_id
02008006_scene_19,02008006,rel_27cac545a2
02008006_scene_19,02008006,rel_4e327e0fd9
02008006_scene_19,02008006,rel_302997c4d0
02008006_scene_20,02008006,rel_80ceab37ec
02008006_scene_20,02008006,rel_66c5e8e6cd
02008006_scene_20,02008006,rel_74c8e8d90d
02008006_scene_20,02008006,rel_9eca7eaa8f
02008006_scene_20,02008006,rel_7757b78a5d
02008006_scene_20,02008006,rel_27cac545a2
02008006_scene_20,02008006,rel_6c25f31108
02008006_scene_20,02008006,rel_4e327e0fd9
02008006_scene_22,02008006,rel_80ceab37ec
02008006_scene_22,02008006,rel_66c5e8e6cd
02008006_scene_22,02008006,rel_7757b78a5d
02008006_scene_22,02008006,rel_27cac545a2
02008006_scene_22,02008006,rel_6c25f31108
02008006_scene_22,02008006,rel_4e327e0fd9
04008002_scene_02,04008002,rel_abc516c8ab
04008002_scene_03,04008002,rel_abc516c8ab
04008002_scene_03,04008002,rel_65b05c2c87
04008002_scene_03,04008002,rel_affec1c9e1
04008002_scene_03,04008002,rel_702177fe84
04008002_scene_05,04008002,rel_abc516c8ab
04008002_scene_05,04008002,rel_65b05c2c87
04008002_scene_05,04008002,rel_affec1c9e1
04008002_scene_05,04008002,rel_702177fe84
04008002_scene_06,04008002,rel_abc516c8ab
04008002_scene_07,04008002,rel_abc516c8ab
04008002_scene_07,04008002,rel_65b05c2c87
04008002_scene_07,04008002,rel_affec1c9e1
04008002_scene_07,04008002,rel_702177fe84
04008002_scene_08,04008002,rel_abc516c8ab
04008002_scene_08,04008002,rel_65b05c2c87
04008002_scene_08,04008002,rel_affec1c9e1
04008002_scene_08,04008002,rel_e2f264a6a8
04008002_scene_09,04008002,rel_abc516c8ab
04008002_scene_09,04008002,rel_65b05c2c87
04008002_scene_09,04008002,rel_affec1c9e1
04008002_scene_10,04008002,rel_abc516c8ab
04008002_scene_11,04008002,rel_abc516c8ab
04008002_scene_11,04008002,rel_65b05c2c87
04008002_scene_11,04008002,rel_affec1c9e1
04008002_scene_11,04008002,rel_e2f264a6a8
04008002_scene_13,04008002,rel_e80d5f0031
04008002_scene_13,04008002,rel_c0ef407c33
04008002_scene_14,04008002,rel_abc516c8ab
04008002_scene_14,04008002,rel_65b05c2c87
04008002_scene_14,04008002,rel_affec1c9e1
04008002_scene_16,04008002,rel_abc516c8ab
04008002_scene_16,04008002,rel_65b05c2c87
04008002_scene_16,04008002,rel_affec1c9e1
04008002_scene_16,04008002,rel_b4dc331e39
04008002_scene_16,04008002,rel_004759311f
04008002_scene_18,04008002,rel_b4dc331e39
04008002_scene_18,04008002,rel_e2f264a6a8
04008002_scene_19,04008002,rel_b1f86210d3
04008002_scene_20,04008002,rel_e80d5f0031
04008002_scene_20,04008002,rel_c0ef407c33
04008002_scene_20,04008002,rel_b1f86210d3
04008002_scene_20,04008002,rel_960a774ea9
04008002_scene_21,04008002,rel_e80d5f0031
04008002_scene_21,04008002,rel_e2f264a6a8
04008002_scene_21,04008002,rel_b1f86210d3
04008002_scene_21,04008002,rel_960a774ea9
04008002_scene_22,04008002,rel_e80d5f0031
04008002_scene_22,04008002,rel_e2f264a6a8
04008002_scene_22,04008002,rel_b1f86210d3
04008002_scene_22,04008002,rel_960a774ea9
